1,2,3,4,5,6,7,8,9,10,11,12,13,13.992,14.753,15.404,16.125,16.929,17.698,18.322,19.008,19.698,20.459,21.114
2,4,6,8,10,12,14,16,18,20,22,23.988,25.961,27.871,29.384,30.804,32.427,34.075,35.573,36.843,38.224,39.663,41.325,42.765
3,6,9,12,15,18,21,24,27,30,32.965,35.886,38.749,41.545,43.804,45.937,48.373,50.839,53.153,55.118,57.357,59.737,62.396,64.8
4,8,12,16,20,24,28,32,35.996,39.918,43.627,47.318,50.961,54.533,57.467,60.302,63.553,66.824,69.863,72.6,75.675,79.027,82.639,85.871
5,10,15,20,25,30,35,40,44.988,49.753,54.055,58.333,62.58,66.718,70.208,73.678,77.6,81.62,85.353,88.906,92.843,97.137,101.72,105.79
5.9765,11.976,17.976,23.976,29.976,35.965,41.922,47.863,53.804,59.286,64.153,68.992,73.82,78.537,82.576,86.608,91.106,95.722,100.04,104.41,109.32,114.59,120.16,125.16
6.8275,13.765,20.733,27.635,34.545,41.431,48.282,54.91,61.4,67.353,72.706,78.071,83.435,88.682,93.231,97.808,102.84,108.01,112.86,117.89,123.57,129.67,136.09,141.93
7.6706,15.447,23.145,30.784,38.427,46.055,53.651,60.831,67.718,74.071,79.882,85.757,91.604,97.349,102.39,107.47,113,118.7,124.11,129.72,136.01,142.74,149.78,156.26
8.5961,17.122,25.467,33.757,42.071,50.412,58.698,66.388,73.655,80.396,86.592,92.894,99.129,105.27,110.8,116.35,122.33,128.53,134.47,140.61,147.45,154.76,162.35,169.37
9.3373,18.522,27.522,36.455,45.416,54.38,63.29,71.498,79.169,86.29,92.91,99.639,106.29,112.84,118.91,124.95,131.36,137.96,144.32,150.9,158.21,165.99,174.03,181.52
9.898,19.604,29.157,38.627,48.145,57.694,67.137,75.749,83.82,91.396,98.475,105.71,112.88,119.98,126.59,133.17,140.04,147.05,153.84,160.75,168.44,176.61,185.09,193.01
10.443,20.616,30.655,40.62,50.604,60.655,70.592,79.667,88.133,96.125,103.61,111.33,119.06,126.69,133.85,140.96,148.31,155.77,162.99,170.31,178.42,187.03,195.98,204.35
11.055,21.612,32.075,42.439,52.784,63.216,73.525,82.91,91.667,99.953,107.83,116.01,124.19,132.31,139.98,147.61,155.45,163.39,171.1,178.88,187.47,196.58,206.04,214.85
11.776,22.651,33.49,44.282,54.98,65.737,76.373,86.047,95.141,103.72,111.91,120.44,129.05,137.62,145.73,153.86,162.22,170.65,178.85,187.1,196.24,205.91,215.8,225
12.604,23.886,35.102,46.322,57.412,68.533,79.561,89.631,99.004,107.89,116.4,125.23,134.21,143.15,151.62,160.16,168.9,177.75,186.35,194.97,204.58,214.8,225.07,234.59
13.475,25.318,36.839,48.373,59.757,71.224,82.612,92.953,102.61,111.79,120.64,129.83,139.22,148.52,157.38,166.24,175.3,184.51,193.44,202.4,212.35,223,233.69,243.54
14.318,26.863,38.69,50.545,62.176,73.871,85.533,96.169,106.1,115.51,124.71,134.29,144.07,153.72,162.98,172.24,181.68,191.28,200.47,209.79,220.15,231.27,242.42,252.64
15.137,28.443,40.592,52.635,64.435,76.298,88.141,98.996,109.15,118.77,128.24,138.12,148.2,158.06,167.62,177.18,186.95,196.94,206.39,215.98,226.63,238.12,249.66,260.24
15.953,30.102,42.769,54.992,66.941,78.957,90.933,101.95,112.28,122.09,131.71,141.84,152.11,162.13,171.89,181.63,191.7,202.05,211.72,221.58,232.53,244.37,256.28,267.2
16.698,31.643,45.008,57.6,69.902,82.259,94.553,105.84,116.43,126.48,136.33,146.68,157.18,167.44,177.42,187.39,197.84,208.55,218.51,228.65,239.87,251.98,264.15,275.37
17.467,33.184,47.302,60.38,73.102,85.902,98.639,110.38,121.43,131.91,142.2,153,163.94,174.63,185.05,195.47,206.39,217.55,227.94,238.51,250.16,262.69,275.28,286.91
18.02,34.31,49,62.584,75.827,89.157,102.42,114.68,126.26,137.27,148.1,159.45,170.96,182.24,193.26,204.3,215.84,227.62,238.6,249.77,262.02,275.16,288.35,300.56
18.208,34.851,49.937,63.965,77.718,91.592,105.41,118.25,130.45,142.04,153.46,165.43,177.54,189.44,201.07,212.74,224.88,237.28,248.85,260.62,273.47,287.23,301.04,313.87
18.631,35.737,51.31,65.875,80.176,94.612,109,122.45,135.27,147.49,159.58,172.18,184.89,197.36,209.57,221.81,234.55,247.54,259.72,272.1,285.56,299.93,314.35,327.78
