1,2,3,4,5,6,7,8,9,10,11,12,12.859,13.471,14.133,14.89,15.671,16.31,16.941,17.612,18.325,18.98,19.612,20.443
2,4,6,8,10,12,14,16,18,19.969,21.929,23.855,25.494,26.8,28.298,29.902,31.431,32.714,34.02,35.373,36.902,38.329,39.663,41.404
3,6,9,12,15,18,21,23.992,26.922,29.776,32.612,35.412,37.851,39.796,42.027,44.42,46.773,48.733,50.831,53.047,55.553,57.941,60.2,62.839
4,8,12,16,20,24,28,31.898,35.518,39.035,42.588,46.118,49.2,51.776,54.741,57.894,60.965,63.62,66.514,69.671,73.133,76.384,79.369,82.663
5,10,15,20,24.98,29.976,34.969,39.737,43.914,47.965,52.082,56.161,59.741,62.886,66.467,70.314,74.094,77.471,81.18,85.231,89.651,93.745,97.361,101.27
5.9922,11.945,17.933,23.914,29.827,35.647,41.502,46.925,51.6,56.161,60.804,65.42,69.506,73.165,77.278,81.69,86.02,90.118,94.765,99.776,105.19,110.2,114.52,119.07
6.8392,13.596,20.447,27.251,33.992,40.431,46.722,52.541,57.627,62.686,67.824,72.937,77.494,81.655,86.259,91.192,96.012,100.73,106.15,112.03,118.32,124.2,129.08,134.18
7.4471,14.847,22.318,29.792,37.208,44.129,50.761,56.949,62.424,67.925,73.498,79.043,84.051,88.678,93.741,99.153,104.48,109.75,115.72,122.22,129.14,135.67,141.09,146.8
8.0667,16.078,24.188,32.31,40.365,47.788,54.761,61.282,67.106,72.984,78.906,84.773,90.231,95.29,100.76,106.62,112.45,118.21,124.69,131.75,139.22,146.29,152.2,158.49
8.651,17.208,25.878,34.545,43.122,50.957,58.294,65.165,71.373,77.647,83.957,90.22,96.188,101.72,107.59,113.8,120.02,126.18,133.11,140.62,148.54,156.05,162.42,169.13
9.1216,18.149,27.31,36.494,45.561,53.784,61.478,68.769,75.392,82.129,88.937,95.729,102.2,108.25,114.55,121.13,127.74,134.21,141.51,149.38,157.71,165.63,172.43,179.55
9.5686,19.027,28.592,38.204,47.682,56.31,64.341,71.988,78.969,86.141,93.459,100.75,107.73,114.27,121.02,128,135.02,141.85,149.54,157.8,166.56,174.89,182.09,189.63
9.9176,19.706,29.573,39.51,49.282,58.157,66.443,74.337,81.671,89.243,96.965,104.71,112.16,119.18,126.39,133.81,141.28,148.55,156.68,165.42,174.67,183.42,191.01,199.02
10.314,20.49,30.667,40.886,50.957,60.106,68.702,76.855,84.475,92.365,100.49,108.64,116.49,123.99,131.64,139.52,147.45,155.16,163.83,173.05,182.71,191.81,199.76,208.23
10.678,21.224,31.749,42.318,52.757,62.263,71.098,79.533,87.424,95.592,104.08,112.57,120.78,128.66,136.66,144.9,153.22,161.29,170.44,180.13,190.1,199.52,207.75,216.54
10.953,21.745,32.502,43.384,54.102,63.835,72.925,81.616,89.82,98.314,107.18,116,124.55,132.71,141,149.57,158.19,166.58,176.05,186.15,196.46,206.15,214.62,223.71
11.227,22.318,33.282,44.388,55.333,65.329,74.627,83.506,92.043,100.89,110.1,119.24,128.15,136.69,145.33,154.25,163.12,171.88,181.72,192.27,202.98,212.98,221.79,231.24
11.431,22.663,33.753,45.004,56.094,66.282,75.761,84.824,93.592,102.73,112.17,121.51,130.69,139.5,148.44,157.72,166.82,175.83,185.95,196.86,207.92,218.25,227.34,237.12
11.792,23.173,34.396,45.776,56.98,67.306,76.945,86.149,95.059,104.43,114.01,123.49,132.84,141.81,151.05,160.64,169.95,179.2,189.6,200.83,212.24,222.85,232.15,242.16
12.341,24.039,35.584,47.278,58.761,69.329,79.192,88.608,97.722,107.29,117.08,126.77,136.32,145.49,155.09,164.98,174.55,184.05,194.7,206.17,217.82,228.71,238.18,248.4
12.957,25.055,36.996,49.098,60.992,71.988,82.267,92.078,101.6,111.57,121.75,131.83,141.77,151.34,161.38,171.66,181.61,191.5,202.51,214.36,226.38,237.64,247.5,258.12
13.467,26.039,38.467,51.055,63.431,74.906,85.678,95.973,105.99,116.47,127.18,137.8,148.3,158.44,169.04,179.9,190.4,200.85,212.42,224.85,237.43,249.24,259.64,270.79
13.847,26.843,39.761,52.851,65.745,77.765,89.094,99.922,110.49,121.54,132.81,144,155.07,165.8,176.98,188.42,199.47,210.47,222.62,235.62,248.78,261.17,272.17,283.88
14.286,27.753,41.173,54.773,68.188,80.765,92.671,104.09,115.26,126.9,138.73,150.46,162.07,173.35,185.07,197.05,208.67,220.25,232.97,246.55,260.28,273.26,284.82,297.09
