1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,22.996,23.98
2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,45.988,47.957
3,6,9,12,15,17.996,20.929,23.886,26.886,29.882,32.878,35.875,38.871,41.867,44.863,47.859,50.859,53.859,56.859,59.859,62.847,65.847,68.835,71.796
4,8,12,16,19.988,23.827,27.443,31.251,35.239,39.235,43.227,47.22,51.212,55.204,59.196,63.192,67.173,71.169,75.169,79.031,82.867,86.835,90.816,94.773
4.9804,9.9804,14.98,19.98,24.91,29.369,33.443,37.976,42.933,47.929,52.922,57.914,62.906,67.898,72.89,77.882,82.706,87.659,92.659,97.259,101.74,106.59,111.42,116.36
5.7961,11.792,17.792,23.792,29.624,34.612,39.082,44.271,50.047,55.918,61.871,67.847,73.804,79.757,85.718,91.655,97.149,102.91,108.73,113.87,118.84,124.22,129.52,135.34
6.3843,13.333,20.333,27.322,33.957,39.584,44.627,50.369,56.639,63.122,69.78,76.616,83.435,90.204,96.816,103.43,109.42,115.69,121.96,127.48,132.91,138.65,144.33,150.71
6.7569,14.557,22.549,30.525,37.8,43.996,49.592,55.761,62.514,69.533,76.635,84.114,91.725,99.122,106.11,113.09,119.43,126.07,132.67,138.52,144.28,150.33,156.32,163.01
7.0784,15.463,24.271,33.153,40.945,47.62,53.663,60.247,67.471,74.918,82.404,90.294,98.427,106.22,113.53,120.84,127.49,134.44,141.34,147.5,153.55,159.87,166.13,173.07
7.3922,16.082,25.392,34.784,42.961,49.969,56.357,63.298,70.878,78.714,86.553,94.769,103.26,111.34,118.95,126.58,133.5,140.71,147.87,154.3,160.6,167.16,173.62,180.82
7.7216,16.725,26.357,36.067,44.569,51.859,58.545,65.792,73.686,81.863,90.016,98.478,107.24,115.62,123.51,131.4,138.63,146.11,153.53,160.22,166.7,173.45,180.13,187.57
8.0078,17.333,27.29,37.322,46.082,53.612,60.592,68.157,76.345,84.812,93.259,101.93,110.91,119.54,127.73,135.86,143.31,151.02,158.72,165.66,172.37,179.31,186.18,193.78
8.2471,17.816,28.059,38.341,47.357,55.141,62.412,70.267,78.733,87.451,96.204,105.12,114.33,123.15,131.64,140.04,147.71,155.64,163.54,170.73,177.65,184.82,191.93,199.75
8.4706,18.255,28.733,39.337,48.592,56.557,64.118,72.247,81.004,89.976,99.047,108.21,117.65,126.71,135.45,144.13,152.04,160.21,168.31,175.76,182.92,190.3,197.62,205.67
8.6824,18.686,29.431,40.329,49.827,58.051,65.894,74.314,83.369,92.647,102.06,111.61,121.42,130.81,139.82,148.77,156.93,165.38,173.71,181.4,188.84,196.46,204.02,212.31
8.9647,19.255,30.247,41.404,51.149,59.651,67.796,76.553,85.89,95.482,105.27,115.21,125.34,135.03,144.29,153.52,161.94,170.62,179.18,187.19,194.95,202.91,210.83,219.49
9.2314,19.792,31.071,42.565,52.663,61.486,69.925,78.965,88.6,98.494,108.64,118.96,129.4,139.4,149.01,158.55,167.34,176.39,185.36,193.84,202.03,210.44,218.77,227.85
9.4863,20.318,31.886,43.729,54.137,63.239,71.976,81.31,91.275,101.53,112.08,122.85,133.78,144.3,154.42,164.43,173.7,183.23,192.69,201.65,210.31,219.18,227.98,237.52
9.7961,20.973,32.957,45.227,56.031,65.541,74.725,84.514,94.914,105.64,116.67,127.92,139.37,150.43,161.08,171.58,181.31,191.31,201.27,210.72,219.87,229.25,238.62,248.74
10.208,21.859,34.306,47.016,58.227,68.149,77.769,88.043,98.898,110.08,121.58,133.27,145.21,156.77,167.95,178.97,189.18,199.7,210.17,220.16,229.92,239.96,250.02,260.82
10.592,22.678,35.573,48.714,60.341,70.702,80.796,91.573,102.93,114.58,126.56,138.78,151.25,163.37,175.1,186.65,197.48,208.66,219.79,230.47,240.96,251.73,262.51,274.02
10.992,23.471,36.816,50.447,62.58,73.471,84.122,95.443,107.35,119.53,132.07,144.88,157.96,170.75,183.16,195.42,206.98,218.89,230.76,242.18,253.4,264.91,276.42,288.67
11.482,24.439,38.271,52.412,65.086,76.545,87.753,99.678,112.24,125.07,138.29,151.82,165.63,179.16,192.34,205.34,217.65,230.32,242.93,255.1,267.07,279.33,291.58,304.55
11.961,25.435,39.765,54.443,67.71,79.78,91.655,104.31,117.6,131.19,145.17,159.45,174.02,188.32,202.25,216.01,229.07,242.5,255.87,268.79,281.51,294.5,307.49,321.16
