1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1.9961,3.9961,5.9961,7.9961,9.9961,11.996,13.996,15.996,17.996,19.996,21.996,23.996,25.996,27.996,29.996,31.996,33.996,35.996,37.996,39.996,41.996,43.996,45.996,47.996
2.9961,5.9961,8.9961,11.996,14.996,17.996,20.996,23.996,26.996,29.996,32.996,35.996,38.996,41.996,44.996,47.996,50.996,53.996,56.996,59.996,62.996,65.996,68.996,71.996
3.9961,7.9961,11.996,15.996,19.996,23.996,27.996,31.996,35.996,39.996,43.996,47.996,51.996,55.996,59.996,63.996,67.996,71.996,75.996,79.996,83.996,87.996,91.996,95.992
4.9961,9.9961,14.996,19.996,24.992,29.992,34.992,39.992,44.992,49.992,54.992,59.992,64.992,69.992,74.925,79.671,84.635,89.635,94.635,99.635,104.64,109.64,114.64,119.63
5.9451,11.878,17.843,23.816,29.541,35.416,41.396,47.373,53.318,59.243,65.184,71.141,77.102,83.086,88.855,94.114,99.945,105.94,111.94,117.94,123.94,129.94,135.94,141.94
6.4314,12.867,19.349,25.843,31.918,38.263,44.745,51.22,57.655,64.031,70.459,76.949,83.447,89.992,96.306,101.96,108.28,114.8,121.41,128.07,134.76,141.47,148.18,154.89
6.8471,13.698,20.541,27.392,33.78,40.49,47.353,54.243,61.086,67.89,74.722,81.651,88.6,95.541,102.22,108.23,114.87,121.73,128.66,135.64,142.7,149.75,156.8,163.81
7.2196,14.435,21.624,28.831,35.584,42.737,50.082,57.459,64.741,71.988,79.267,86.608,93.957,101.25,108.29,114.64,121.59,128.76,135.98,143.26,150.61,157.95,165.28,172.58
7.4902,14.996,22.467,29.949,36.996,44.424,52.047,59.725,67.286,74.827,82.392,90.035,97.675,105.24,112.56,119.16,126.39,133.81,141.29,148.82,156.41,163.99,171.56,179.09
7.7451,15.482,23.165,30.863,38.161,45.851,53.765,61.694,69.506,77.282,85.11,93.024,100.96,108.79,116.36,123.23,130.71,138.38,146.08,153.83,161.68,169.5,177.29,185.01
7.9843,15.961,23.878,31.8,39.306,47.235,55.388,63.525,71.561,79.553,87.596,95.729,103.9,111.98,119.85,126.98,134.69,142.61,150.52,158.51,166.59,174.62,182.58,190.51
8.1961,16.392,24.553,32.702,40.435,48.561,56.898,65.208,73.396,81.608,89.839,98.129,106.5,114.83,122.93,130.31,138.25,146.35,154.44,162.64,170.92,179.13,187.25,195.39
8.3765,16.725,25.11,33.486,41.431,49.788,58.341,66.961,75.514,84.173,92.788,101.47,110.36,118.95,127.2,134.78,142.93,151.22,159.51,167.94,176.42,184.78,193.08,201.44
8.7373,17.569,26.49,35.443,43.992,53.016,62.267,71.631,80.973,90.451,99.588,108.47,117.81,127.02,135.62,143.35,151.69,160.22,168.78,177.46,186.12,194.62,203.16,211.72
9.3804,18.878,28.467,38.078,47.298,56.988,66.945,77.008,87.082,97.325,107.25,116.62,126.2,135.76,144.99,153.21,161.76,170.52,179.31,188.17,197.01,205.67,214.39,223.11
9.9804,20.118,30.376,40.651,50.518,60.82,71.451,82.161,92.929,103.92,114.59,124.72,134.76,144.57,154.08,162.84,172,181.11,190.03,199.05,208.05,216.89,225.74,234.58
10.604,21.384,32.294,43.251,53.816,64.859,76.224,87.635,99.141,110.87,122.26,133.12,143.85,154.11,163.84,172.83,182.45,192.22,201.53,210.68,219.82,228.83,237.78,246.7
11.224,22.659,34.29,46.02,57.357,69.192,81.376,93.478,105.67,118.13,130.24,141.83,153.31,164.34,174.57,183.82,193.79,203.88,213.81,223.51,232.9,242.06,251.15,260.27
11.91,24.078,36.459,48.949,60.976,73.522,86.435,99.212,112.06,125.21,138.06,150.42,162.62,174.38,185.37,195.16,205.35,215.67,225.92,236.15,246.23,255.8,265.24,274.8
12.612,25.514,38.635,51.855,64.6,77.867,91.471,104.87,118.35,132.14,145.65,158.73,171.64,184.11,195.82,206.41,217.09,227.59,238.09,248.67,259.18,269.36,279.36,289.29
13.314,26.937,40.784,54.745,68.231,82.231,96.545,110.61,124.74,139.12,153.24,167.01,180.65,193.83,206.26,217.58,229,240.01,250.77,261.66,272.36,282.89,293.48,304.04
14,28.322,42.843,57.482,71.659,86.337,101.33,116.05,130.82,145.85,160.62,175.06,189.43,203.31,216.48,228.52,240.67,252.4,263.65,274.75,285.65,296.45,307.36,318.4
14.643,29.624,44.8,60.098,74.941,90.271,105.94,121.34,136.78,152.45,167.89,183.03,198.13,212.74,226.62,239.38,252.24,264.68,276.66,288.24,299.34,310.37,321.57,332.9
