1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,21.988,22.882,23.882
1.9882,3.9804,5.9725,7.9608,9.949,11.941,13.933,15.925,17.918,19.906,21.898,23.894,25.886,27.882,29.878,31.871,33.863,35.855,37.851,39.847,41.843,43.816,45.596,47.596
2.7843,5.7647,8.7451,11.718,14.69,17.667,20.643,23.62,26.592,29.565,32.533,35.498,38.475,41.455,44.427,47.384,50.341,53.302,56.282,59.259,62.224,65.173,67.902,70.894
3.5843,7.5647,11.537,15.502,19.471,23.447,27.42,31.396,35.369,39.243,42.945,46.573,50.243,54.09,58.047,61.988,65.933,69.878,73.859,77.831,81.792,85.741,89.463,93.447
4.4196,9.4,14.365,19.322,24.282,29.259,34.227,39.204,44,48.443,52.651,56.765,60.902,65.251,70,74.929,79.851,84.784,89.761,94.733,99.694,104.64,109.36,114.33
5.2784,11.259,17.224,23.18,29.141,35.118,41.086,46.957,52.361,57.369,62.114,66.737,71.373,76.2,81.463,87.275,93.184,99.106,105.08,111.05,117.01,122.96,128.66,134.63
6.1569,13.137,20.102,27.059,34.02,40.996,47.941,54.514,60.506,66.063,71.314,76.427,81.545,86.851,92.588,99.102,106,112.91,119.87,126.85,133.81,140.76,147.45,154.41
7.051,15.031,22.992,30.945,38.902,46.878,54.702,61.886,68.447,74.541,80.302,85.918,91.518,97.294,103.49,110.53,118.33,126.22,134.17,142.14,150.1,158.05,165.72,173.67
7.9608,16.941,25.898,34.843,43.792,52.765,61.4,69.176,76.318,82.98,89.306,95.486,101.63,107.93,114.6,122.09,130.68,139.55,148.49,157.45,166.41,175.35,184,192.95
8.8941,18.875,28.827,38.769,48.714,58.678,68.039,76.388,84.098,91.322,98.224,104.98,111.69,118.49,125.62,133.56,142.85,152.72,162.65,172.6,182.55,192.49,202.12,212.05
9.8314,20.804,31.749,42.69,53.627,64.569,74.592,83.498,91.765,99.533,107,114.34,121.58,128.85,136.43,144.79,154.78,165.64,176.55,187.49,198.43,209.36,219.96,230.89
10.792,22.765,34.71,46.643,58.573,70.482,81.169,90.639,99.439,107.73,115.71,123.58,131.33,139.08,147.11,155.89,166.61,178.45,190.35,202.29,214.21,226.13,237.7,249.62
11.753,24.722,37.659,50.588,63.518,76.251,87.49,97.49,106.76,115.49,123.9,132.22,140.37,148.55,157.02,166.26,177.67,190.49,203.37,216.3,229.2,242.1,254.64,267.55
12.722,26.686,40.62,54.545,68.475,82.039,93.808,104.31,114.05,123.27,132.13,140.89,149.49,158.07,166.94,176.62,188.55,202.31,216.17,230.07,243.95,257.81,271.31,285.21
13.706,28.671,43.6,58.518,73.439,87.89,100.19,111.2,121.47,131.19,140.49,149.72,158.76,167.82,177.13,187.24,199.78,214.51,229.35,244.22,259.06,273.9,288.35,303.24
14.694,30.659,46.58,62.475,78.353,93.733,106.68,118.15,128.91,139.09,148.83,158.54,168.01,177.56,187.31,197.83,211.16,226.85,242.65,258.51,274.31,290.12,305.48,321.23
15.682,32.643,49.541,66.388,83.208,99.518,113.27,125.19,136.38,147,157.13,167.22,177.11,187.1,197.25,208.42,222.69,239.33,256.1,272.92,289.69,306.46,322.77,339.51
16.671,34.616,52.475,70.263,88.012,105.24,119.85,132.25,143.84,154.89,165.45,175.98,186.3,196.69,207.24,219.21,234.44,252.03,269.76,287.54,305.28,323.01,340.26,357.99
17.643,36.561,55.376,74.098,92.769,110.91,126.41,139.36,151.34,162.8,173.77,184.74,195.45,206.2,217.22,230.09,246.27,264.8,283.48,302.22,320.92,339.62,357.81,376.54
18.604,38.486,58.255,77.91,97.502,116.56,132.93,146.4,158.76,170.62,182,193.4,204.52,215.65,227.12,240.87,258,277.48,297.11,316.81,336.47,356.13,375.27,395
19.553,40.384,61.094,81.678,102.2,122.02,138.92,152.8,165.55,177.78,189.59,201.42,212.92,224.41,236.27,250.51,268.41,288.84,309.43,330.08,350.7,371.32,391.41,412.14
20.494,42.267,63.914,85.435,106.69,127,144.34,158.6,171.72,184.3,196.5,208.73,220.57,232.42,244.66,259.25,277.6,298.79,320.33,341.93,363.5,385.06,406.1,427.83
21.424,44.137,66.729,89.051,110.86,131.67,149.4,164.04,177.51,190.44,202.95,215.47,227.63,239.83,252.43,267.4,286.15,307.86,330.26,352.82,375.33,397.84,419.82,442.55
22.341,45.976,69.396,92.306,114.65,136,154.32,169.38,183.2,196.46,209.28,222.11,234.61,247.16,260.17,275.54,294.71,316.95,339.91,363.26,386.71,410.15,433.08,456.81
