1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23.835
2,4,6,8,10,12,13.996,15.992,17.988,19.988,21.988,23.984,25.98,27.976,29.969,31.961,33.953,35.945,37.937,39.929,41.918,43.886,45.867,47.537
3,6,8.9529,11.871,14.788,17.71,20.624,23.51,26.396,29.306,32.22,35.122,38.027,40.949,43.851,46.749,49.675,52.627,55.576,58.522,61.478,64.302,67.157,69.663
3.8824,7.7647,11.576,15.384,19.196,23.008,26.804,30.569,34.278,37.851,41.325,44.741,48.2,51.816,55.522,59.29,63.09,66.949,70.82,74.694,78.616,82.294,86.012,89.341
4.7137,9.4275,14.078,18.776,23.486,28.188,32.871,37.286,41.38,45.235,48.965,52.631,56.341,60.216,64.278,68.745,73.388,78.106,82.847,87.588,92.451,96.976,101.55,105.73
5.549,11.098,16.592,22.192,27.796,33.396,38.776,43.478,47.816,51.922,55.894,59.8,63.749,67.871,72.173,76.969,82.38,88.012,93.671,99.329,105.16,110.55,115.99,121.01
6.3843,12.769,19.11,25.616,32.125,38.525,44.271,49.224,53.804,58.145,62.345,66.475,70.651,75.008,79.553,84.584,90.42,96.937,103.53,110.13,116.95,123.2,129.51,135.38
7.2196,14.439,21.624,29.035,36.439,43.341,49.333,54.525,59.329,63.89,68.306,72.647,77.043,81.624,86.4,91.667,97.749,104.98,112.52,120.07,127.87,134.99,142.18,148.88
8.0549,16.11,24.137,32.455,40.761,48.102,54.322,59.737,64.753,69.537,74.18,78.749,83.388,88.196,93.192,98.694,105.01,112.76,121.24,129.74,138.51,146.51,154.57,162.11
8.8902,17.78,26.651,35.863,45.082,52.906,59.341,64.973,70.235,75.329,80.282,85.137,90.11,95.243,100.49,106.22,112.76,120.98,130.38,139.84,149.58,158.48,167.42,175.8
9.7255,19.451,29.161,39.259,49.396,57.835,64.478,70.333,75.882,81.318,86.608,91.784,97.114,102.63,108.2,114.18,120.93,129.71,140.07,150.47,161.2,171,180.83,190.06
10.561,21.122,31.675,42.651,53.686,62.847,69.718,75.804,81.624,87.365,92.98,98.486,104.16,110.02,115.92,122.16,129.14,138.63,149.93,161.27,172.99,183.71,194.42,204.51
11.529,23.059,34.553,46.42,58.349,68.333,75.541,81.867,87.953,93.918,99.757,105.53,111.44,117.53,123.71,130.2,137.57,147.91,160.15,172.45,185.14,196.78,208.38,219.31
12.529,25.059,37.522,50.278,63.098,73.988,81.659,88.251,94.647,100.87,106.99,113.1,119.28,125.63,132.11,138.89,146.77,158.04,171.21,184.47,198.15,210.71,223.2,234.97
13.529,27.059,40.486,54.133,67.839,79.631,87.851,94.714,101.45,108.06,114.54,121.01,127.55,134.27,141.1,148.17,156.65,168.85,182.96,197.2,211.85,225.35,238.74,251.34
14.529,29.059,43.451,57.984,72.573,85.251,94.204,101.4,108.43,115.39,122.18,128.97,135.81,142.88,150.01,157.44,166.69,179.79,194.82,210.01,225.65,240.09,254.38,267.81
15.529,31.059,46.416,61.835,77.306,90.855,100.7,108.49,115.78,123.06,130.16,137.2,144.35,151.74,159.13,167.16,177.29,191.31,207.28,223.42,240.04,255.42,270.62,284.85
16.529,33.059,49.388,65.698,82.055,96.498,107.18,115.42,122.97,130.54,137.91,145.22,152.66,160.33,168,176.36,186.98,201.8,218.72,235.82,253.39,269.71,285.84,300.92
17.529,35.059,52.365,69.573,86.827,102.05,113.27,121.77,129.6,137.44,145.12,152.73,160.47,168.4,176.33,184.94,195.94,211.26,228.93,246.92,265.45,282.75,299.81,315.74
18.529,37.059,55.341,73.459,91.459,107.2,118.83,127.62,135.73,143.83,151.77,159.62,167.6,175.79,183.98,192.85,204.24,220,238.13,256.71,275.98,294.14,312.13,328.91
19.529,39.059,58.314,77.125,95.663,111.94,123.93,133.01,141.44,149.83,158.02,166.1,174.33,182.77,191.21,200.34,212.09,228.29,246.87,265.91,285.71,304.44,323.27,340.88
20.529,41.059,61.275,80.647,99.706,116.51,128.84,138.25,147,155.7,164.17,172.5,180.96,189.64,198.32,207.7,219.8,236.43,255.47,274.93,295.15,314.36,334,352.45
21.529,43.059,64.239,84.176,103.77,121.07,133.8,143.53,152.65,161.66,170.42,179.01,187.72,196.64,205.55,215.21,227.64,244.64,264.04,283.87,304.53,324.22,344.67,363.95
22.529,45.059,67.208,87.702,107.79,125.6,138.75,148.8,158.28,167.59,176.65,185.52,194.51,203.71,212.88,222.82,235.53,252.87,272.67,292.93,314.08,334.27,355.53,375.64
