1,2,3,4,5,6,7,8,9,10,11,12,12.965,13.831,14.812,15.812,16.812,17.812,18.812,19.812,20.812,21.812,22.812,23.812
2,4,6,8,10,12,14,16,17.929,19.612,21.196,22.596,23.886,24.969,26.235,27.698,29.322,30.969,32.965,34.965,36.965,38.965,40.965,42.965
3,6,9,12,15,18,21,23.859,26.063,27.855,29.584,31.114,32.529,33.745,35.114,36.686,38.447,40.329,42.773,45.62,48.62,51.62,54.62,57.62
4,8,12,16,20,24,27.89,31.02,33.318,35.235,37.09,38.776,40.357,41.749,43.247,44.965,46.875,48.933,51.58,54.729,58.553,62.553,66.553,70.553
5,10,15,20,25,30,34.416,37.659,40.11,42.282,44.404,46.565,48.745,50.725,52.804,55.027,57.282,59.529,62.38,65.71,69.973,74.953,79.953,84.953
6,12,18,24,30,35.969,40.714,44.157,47.157,50.133,53.125,56.231,59.392,62.373,65.451,68.675,71.867,74.824,78.125,81.733,86.396,92.341,98.341,104.34
7,14,21,28,35,41.761,46.733,50.682,54.463,58.282,62.2,66.267,70.408,74.38,78.455,82.675,86.867,90.824,95.09,99.322,104.35,111.2,118.2,125.2
8,16,23.992,31.961,39.925,47.286,52.522,57.145,61.702,66.357,71.18,76.22,81.357,86.322,91.396,96.616,101.81,106.76,112.03,117.05,122.45,130.13,138.13,146.13
9,18,26.973,35.875,44.729,52.651,58.231,63.545,68.808,74.196,79.816,85.741,91.839,97.788,103.82,109.96,116.06,121.95,128.18,134.1,139.91,148.39,157.39,166.39
10,19.82,29.518,39.086,48.733,57.294,63.388,69.318,75.133,81.02,87.094,93.506,100.35,107.28,114.08,120.82,127.5,134.16,141.23,148.13,154.57,163.89,173.89,183.89
11,21.282,31.173,40.929,51.231,60.384,67.063,73.596,79.831,86.063,92.58,99.416,106.96,114.89,122.46,129.72,136.79,143.99,151.87,159.76,166.96,177.18,188.18,199.18
12,22.741,32.78,42.729,53.667,63.38,70.686,77.949,84.855,91.733,98.886,106.33,114.68,123.59,132.11,140.16,148.02,156.09,164.92,173.82,181.92,193.09,205.08,217.08
13,24.369,34.804,45.145,56.722,67.067,74.953,83.004,90.757,98.471,106.39,114.52,123.71,133.6,143.11,152.16,161,170.06,179.89,189.79,198.79,210.93,223.92,236.92
14,26.243,37.427,48.447,60.678,71.686,80.125,88.898,97.467,106.05,114.74,123.52,133.45,144.27,154.72,164.74,174.57,184.63,195.46,206.34,216.21,229.35,243.33,257.33
15,28.098,40,51.667,64.533,76.208,85.235,94.663,104,113.38,122.82,132.24,142.84,154.49,165.83,176.81,187.63,198.68,210.51,222.35,233.15,247.29,262.27,277.27
16,29.941,42.545,54.847,68.337,80.675,90.329,100.36,110.4,120.44,130.43,140.49,151.82,164.29,176.49,188.32,199.94,211.95,224.78,237.56,249.34,264.47,280.46,296.46
17,31.804,45.133,58.098,72.224,85.235,95.545,106.17,116.84,127.57,138.16,148.88,160.98,174.29,187.37,200.09,212.6,225.55,239.33,253.03,265.81,281.95,298.93,315.93
18,33.663,47.718,61.349,76.114,89.8,100.77,112.04,123.27,134.61,145.89,157.35,170.22,184.31,198.27,211.95,225.44,239.33,253.99,268.6,282.32,299.4,317.36,335.36
19,35.204,49.49,63.365,78.69,93.055,104.69,116.62,128.4,140.28,152.19,164.44,178.2,193.25,208.19,222.87,237.26,251.96,267.54,282.83,296.74,314.05,332.23,350.93
20,36.62,50.933,64.875,80.725,95.765,107.98,120.22,132.5,144.95,157.35,170.16,184.64,200.45,216.18,231.61,246.71,262.28,278.81,294.94,309.15,326.63,344.9,363.72
21,38.043,52.408,66.439,82.816,98.384,110.82,123.16,135.95,149.01,162.01,175.35,190.33,206.71,223.09,239.27,255.27,271.8,289.29,306.33,321.39,339.46,357.92,376.85
22,39.816,54.784,69.341,86.157,101.96,114.5,126.93,139.96,153.54,167.21,181.25,196.92,214.05,231.28,248.39,265.36,282.87,301.32,319.27,335.12,353.7,372.33,391.38
23,41.58,56.925,71.737,88.812,104.8,117.46,129.98,143.1,156.8,170.74,185.2,201.42,219.22,237.24,255.18,272.99,291.28,310.4,328.83,344.94,363.67,382.44,401.61
24,43.016,58.431,73.49,90.773,106.92,119.66,132.25,145.45,159.24,173.24,187.76,204.05,221.95,240.07,258.13,276.05,294.45,313.65,332.16,348.37,367.21,386.1,405.38
