1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,4,6,8,10,12,14,16,18,19.996,21.937,23.827,25.659,27.467,29.318,31.294,33.294,35.294,37.294,39.294,41.294,43.294,45.294,47.294
3,6,9,12,15,18,21,23.914,26.588,28.996,31.184,33.286,35.302,37.275,39.314,41.6,44.125,46.965,49.965,52.965,55.965,58.965,61.965,64.965
4,8,12,16,20,23.996,27.663,30.816,33.635,36.184,38.522,40.769,42.906,44.996,47.141,49.549,52.212,55.243,58.733,62.655,66.655,70.655,74.655,78.655
5,10,15,20,24.996,29.51,33.333,36.647,39.608,42.275,44.725,47.075,49.314,51.518,53.78,56.31,59.114,62.294,65.957,70.188,75.039,80.039,85.039,90.039
6,12,18,24,29.663,34.345,38.345,41.784,44.894,47.737,50.392,52.965,55.384,57.839,60.357,63.078,66.027,69.365,73.204,77.573,82.706,88.635,94.635,100.64
7,14,21,27.902,33.8,38.639,42.796,46.467,50.024,53.447,56.737,59.973,63.004,66.106,69.239,72.478,75.816,79.384,83.392,87.894,93.082,99.533,106.53,113.53
8,16,24,31.631,37.635,42.627,46.992,51.18,55.569,59.906,64.125,68.278,72.208,76.2,80.216,84.302,88.412,92.553,96.812,101.45,106.71,113.49,121.49,129.49
9,18,27,35.416,41.533,46.702,51.435,56.404,61.631,66.82,71.941,77.02,81.878,86.792,91.702,96.631,101.54,106.47,111.29,116.14,121.49,128.59,137.59,146.59
10,20,30,39.318,45.608,51.059,56.553,62.349,68.275,73.965,79.557,85.263,90.98,96.663,102.1,107.47,112.91,118.51,124.07,129.5,134.99,142.45,152.45,162.45
11,22,33,43.314,49.961,55.71,62.145,68.722,75.188,81.275,87.349,93.784,100.47,107.04,113.11,118.93,124.8,130.98,137.33,143.61,149.3,157.3,168.3,179.3
12,24,36,47.314,54.722,61.055,68.435,75.953,83.294,90.157,97.02,104.38,112.05,119.58,126.49,133.08,139.76,146.83,154.09,161.25,167.58,176.36,188.36,200.36
13,26,39,51.314,59.678,66.871,75.208,83.714,92.031,99.816,107.56,115.88,124.55,133.07,140.87,148.31,155.91,163.93,172.14,180.17,187.31,197.02,210.02,223.02
14,28,42,55.314,64.659,72.784,82.031,91.451,100.65,109.24,117.81,126.85,136.27,145.49,154.01,162.26,170.66,179.53,188.61,197.47,205.49,216.18,230.18,244.18
15,30,45,59.314,69.647,78.647,88.769,99.024,109.04,118.49,127.98,137.87,148.1,158.1,167.45,176.58,185.79,195.44,205.31,214.98,223.87,235.53,250.53,265.53
16,32,47.992,63.302,74.635,84.631,95.659,106.81,117.74,128.02,138.17,148.75,159.67,170.35,180.35,190.13,200.16,210.65,221.35,231.87,241.75,254.38,270.38,286.38
17,34,50.984,67.29,79.624,90.62,102.49,114.33,126.11,137.18,148.13,159.42,171,182.34,193.02,203.56,214.36,225.64,237,248.04,258.74,272.36,289.35,306.35
18,36,53.984,71.286,84.514,96.055,108.09,120.1,132.58,144.44,156.21,168.31,180.63,192.71,204.16,215.49,227,238.91,250.85,261.98,272.77,286.71,304.23,321.93
18.984,37.804,56.38,74.035,87.392,99.016,111.12,123.25,136.34,148.81,161.27,174.05,187.01,199.72,211.82,223.78,235.86,248.37,260.92,272.18,283.04,297.07,314.65,332.41
19.788,38.761,57.455,75.153,88.576,100.3,112.47,124.77,138.39,151.5,164.53,177.77,191.08,204.12,216.61,229.07,241.75,254.93,268.03,279.47,290.4,304.55,322.24,340.07
20.573,39.675,58.451,76.196,89.722,101.54,113.79,126.17,140.2,153.95,167.61,181.4,195.19,208.67,221.66,234.71,248.02,261.86,275.5,287.25,298.24,312.51,330.31,348.24
21.353,40.533,59.373,77.18,90.835,102.74,115.09,127.5,141.62,155.73,169.98,184.45,198.92,213.08,226.77,240.54,254.57,269.1,283.3,295.28,306.35,320.74,338.65,356.68
22.129,41.369,60.271,78.18,91.976,103.98,116.41,128.88,143.02,157.18,171.56,186.37,201.35,216.09,230.41,244.79,259.35,274.21,288.55,300.57,311.74,326.25,344.27,362.41
22.91,42.239,61.227,79.247,93.169,105.27,117.8,130.35,144.54,158.73,173.17,188.03,203.05,217.86,232.25,246.71,261.32,276.22,290.6,302.71,313.98,328.59,346.73,364.98
