1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,4,6,8,10,12,14,15.984,17.871,19.553,20.941,22.494,24.259,26.078,27.988,29.949,31.949,33.949,35.949,37.949,39.949,41.949,43.949,45.949
3,6,9,12,15,18,20.816,23.133,25.125,26.882,28.298,29.886,31.71,33.616,35.647,37.804,40.42,43.416,46.416,49.416,52.416,55.416,58.416,61.416
4,8,12,16,19.941,23.486,26.424,28.78,30.82,32.627,34.098,35.737,37.604,39.549,41.604,43.773,46.416,50.059,54.059,58.059,62.059,66.059,70.059,74.059
5,10,15,19.965,24.235,27.835,30.847,33.263,35.345,37.192,38.702,40.373,42.255,44.204,46.259,48.431,51.09,54.804,59.075,63.753,68.749,73.749,78.749,83.749
6,12,18,23.741,28.102,31.757,34.816,37.275,39.4,41.302,42.933,44.773,46.875,49.086,51.384,53.729,56.514,60.275,64.561,69.31,74.804,80.788,86.788,92.788
7,14,20.784,26.722,31.122,34.824,37.902,40.365,42.506,44.596,46.604,48.933,51.627,54.482,57.396,60.204,63.337,67.275,71.584,76.396,81.961,88.49,95.49,102.49
8,15.953,22.929,28.867,33.298,37.016,40.114,42.647,45.043,47.706,50.427,53.502,56.949,60.541,64.157,67.502,71.039,75.235,79.596,84.471,90.118,96.776,104.65,112.65
9,17.867,24.965,30.918,35.373,39.157,42.537,45.576,48.698,52.212,55.776,59.663,63.914,68.298,72.655,76.588,80.553,85.027,89.471,94.416,100.13,106.82,115.33,124.33
10,19.718,26.89,32.867,37.369,41.435,45.176,48.608,52.129,56.102,60.224,64.729,69.557,74.408,79.149,83.431,87.714,92.475,97.031,102,107.76,114.45,123.47,133.47
11,21.576,28.827,34.804,39.431,43.788,47.8,51.557,55.341,59.494,63.812,68.651,73.757,78.773,83.694,88.251,92.808,97.8,102.51,107.49,113.27,119.96,129.61,140.61
12,23.376,30.671,36.647,41.396,46.055,50.361,54.353,58.384,62.792,67.369,72.769,78.416,83.647,88.835,93.624,98.424,103.66,108.6,113.62,119.4,126.15,136.62,148.62
13,25.196,32.541,38.518,43.514,48.529,53.204,57.506,61.859,66.647,71.612,77.749,84.208,89.816,95.306,100.34,105.39,110.96,116.19,121.32,127.09,134.03,145.44,158.44
14,27.18,34.859,40.875,46.169,51.624,56.808,61.549,66.325,71.553,76.875,83.749,91.145,97.216,103.01,108.35,113.72,119.7,125.29,130.61,136.41,143.76,156.17,170.17
15,29.18,37.737,43.933,49.506,55.424,61.114,66.322,71.576,77.271,82.973,90.255,98.145,104.54,110.71,116.43,122.16,128.53,134.5,140.07,146.1,154.22,167.64,182.64
16,31.18,40.737,47.576,53.498,59.831,66.024,71.835,77.737,84.031,90.059,97.541,105.61,112.18,118.7,124.9,131.1,137.86,144.18,150.04,156.64,165.76,180.18,196.18
17,33.18,43.737,51.529,57.906,64.592,71.243,77.596,84.031,90.824,97.251,105.08,113.53,120.42,127.29,133.87,140.46,147.57,154.17,160.32,167.59,177.71,193.13,210.13
18,35.18,46.737,55.514,62.498,69.498,76.518,83.325,90.122,97.165,103.78,111.8,120.41,127.41,134.43,141.27,148.2,155.6,162.44,168.99,177.13,188.24,204.66,222.66
19,37.18,49.737,59.514,67.471,74.882,82.169,89.302,96.416,103.77,110.69,119.09,128.07,135.34,142.57,149.65,156.85,164.47,171.53,178.85,187.98,200.1,217.51,236.51
20,39.18,52.737,63.514,72.471,80.612,88.11,95.459,102.84,110.48,117.6,126.14,135.25,142.67,150.11,157.4,164.78,172.54,180,188.29,198.43,211.55,229.96,249.95
20.996,41.176,55.733,67.51,77.467,86.608,94.663,102.13,109.69,117.61,125.04,133.86,143.22,150.87,158.5,165.92,173.37,181.4,189.8,199.09,210.23,224.33,243.73,264.71
21.992,43.169,58.718,71.494,82.443,92.584,101.35,108.99,116.62,124.64,132.16,141.05,150.49,158.22,165.93,173.41,180.94,189.29,198.65,208.94,221.05,236.14,256.51,278.46
22.988,45.157,61.706,75.482,87.431,98.278,107.22,115.11,122.87,130.95,138.52,147.46,156.94,164.71,172.47,180.03,187.7,196.26,206,217.23,230.35,246.4,267.73,290.63
23.984,47.153,64.612,79.039,91.478,102.46,111.5,119.67,127.68,135.91,143.57,152.58,162.12,169.96,177.8,185.49,193.38,202.17,211.94,223.5,237.51,254.53,276.81,300.65
