1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23.996
2,4,6,8,10,12,14,15.976,17.835,19.553,21.133,22.686,24.275,25.961,27.741,29.667,31.667,33.667,35.667,37.667,39.667,41.667,43.663,45.647
3,6,9,12,15,18,20.788,23.224,25.459,27.576,29.541,31.447,33.329,35.263,37.231,39.38,41.965,44.949,47.949,50.949,53.949,56.945,59.937,62.918
4,8,12,16,19.941,23.475,26.455,29.22,31.984,34.663,37.184,39.631,42.039,44.459,46.863,49.314,52.051,55.541,59.475,63.475,67.475,71.471,75.459,79.435
5,10,15,19.914,24.227,27.882,31.227,34.58,37.922,41.196,44.341,47.427,50.447,53.42,56.333,59.267,62.431,66.114,70.275,74.922,79.902,84.898,89.882,94.859
6,12,17.996,23.294,27.682,31.624,35.498,39.384,43.333,47.29,51.137,54.929,58.635,62.255,65.745,69.149,72.753,76.792,81.078,85.816,91.294,97.275,103.26,109.21
7,14,20.78,26.188,30.702,35.027,39.376,43.78,48.345,52.965,57.478,61.949,66.314,70.557,74.612,78.49,82.494,86.894,91.396,96.204,101.76,108.36,115.35,122.29
8,16,23.263,28.718,33.388,38.09,42.902,47.835,53.008,58.243,63.4,68.514,73.502,78.333,82.922,87.271,91.655,96.396,101.13,106.01,111.6,118.46,126.4,134.33
9,17.98,25.51,31.012,35.851,40.925,46.184,51.635,57.38,63.243,69.016,74.753,80.353,85.78,90.878,95.624,100.37,105.46,110.45,115.41,121.02,128.05,136.88,145.79
10,19.961,27.761,33.286,38.306,43.784,49.357,54.996,60.902,67.063,73.349,79.639,85.761,91.573,96.816,101.65,106.52,111.87,117.16,122.23,127.84,135.13,144.94,154.82
11,21.961,30.122,35.686,40.918,46.765,52.514,58.298,64.349,70.659,77.208,83.953,90.471,96.443,101.79,106.75,111.76,117.28,122.87,128.08,133.7,141.19,151.91,162.76
12,23.961,32.569,38.212,43.671,49.878,55.863,61.847,68.027,74.486,81.212,88.459,95.478,101.6,107.09,112.18,117.35,123.06,128.91,134.3,139.96,147.6,159.17,170.98
13,25.961,35.153,40.878,46.604,53.22,59.494,65.745,72.153,78.867,85.871,93.612,101.17,107.57,113.28,118.6,124.02,129.98,136.15,141.78,147.51,155.34,167.78,180.55
14,27.961,37.949,43.816,49.812,56.898,63.6,70.271,77.02,84.114,91.475,99.8,108.04,114.78,120.81,126.51,132.31,138.6,145.13,151.05,156.84,165.06,178.43,192.13
15,29.961,40.949,47.224,53.478,61.035,68.169,75.278,82.561,90.129,97.855,106.8,115.67,122.78,129.12,135.25,141.45,148.05,154.86,161.06,167.01,175.74,190.04,204.62
16,31.961,43.949,50.882,57.522,65.498,73.02,80.525,88.278,96.239,104.24,113.46,122.61,129.89,136.47,142.96,149.51,156.4,163.46,169.95,176.21,185.54,200.76,216.24
17,33.961,46.949,54.671,61.745,70.141,78.039,85.969,94.165,102.53,110.85,120.27,129.54,137.03,143.9,150.71,157.57,164.75,172.07,178.84,185.43,195.51,211.59,227.91
18,35.957,49.945,58.624,66.337,75.161,83.455,91.792,100.38,109.1,117.76,127.5,137.08,144.86,152,159.07,166.22,173.66,181.24,188.31,195.57,206.48,223.36,240.49
19,37.953,52.937,62.616,71.302,80.635,89.306,98.008,106.88,115.85,124.76,134.75,144.6,152.59,159.9,167.14,174.51,182.2,190.02,197.47,205.52,217.22,234.87,252.73
19.988,39.929,55.906,66.576,76.255,86.125,95.161,104.2,113.34,122.59,131.77,142.02,152.12,160.33,167.86,175.33,182.91,190.83,198.87,206.87,215.73,228.17,246.56,265.14
20.984,41.922,58.89,70.561,80.918,90.976,100.35,109.71,119.13,128.72,138.25,148.83,159.21,167.73,175.56,183.29,191.11,199.24,207.47,216.03,225.71,238.89,258.02,277.32
21.933,43.737,61.518,74.008,84.957,95.106,104.63,114.25,123.97,133.9,143.85,154.89,165.7,174.63,182.78,190.77,198.8,207.1,215.49,224.26,234.71,248.67,268.54,288.55
22.753,45.376,63.847,77.075,88.741,99.18,108.75,118.49,128.38,138.57,148.81,160.12,171.2,180.36,188.74,196.91,205.05,213.49,222,230.82,241.74,256.4,277,297.73
23.62,47.122,66.278,80.255,92.647,103.72,113.46,123.25,133.22,143.53,153.95,165.47,176.76,186.1,194.61,202.87,211.09,219.67,228.26,237.14,248.49,263.69,284.93,306.34
