1,2,3,4,5,6,7,8,8.9059,9.5137,9.9725,10.373,10.671,10.992,11.4,11.925,12.655,13.631,14.631,15.631,16.631,17.631,18.631,19.631
2,4,6,8,10,11.886,13.549,14.988,16.039,16.647,17.114,17.537,17.875,18.263,18.722,19.298,20.122,21.373,23.09,25.09,27.09,29.09,31.09,33.09
3,6,9,11.996,14.522,16.51,18.196,19.651,20.733,21.416,21.961,22.459,22.859,23.302,23.804,24.42,25.298,26.608,28.439,30.965,33.957,36.957,39.957,42.957
4,8,12,15.6,18.145,20.165,21.898,23.4,24.557,25.29,25.859,26.376,26.788,27.243,27.757,28.388,29.282,30.624,32.533,35.145,38.835,42.835,46.835,50.835
5,10,14.929,18.678,21.251,23.31,25.071,26.584,27.769,28.518,29.094,29.624,30.039,30.51,31.075,31.796,32.753,34.118,36.094,38.765,42.996,47.996,52.996,57.996
6,12,17.698,21.498,24.102,26.176,28.039,29.831,31.353,32.325,33.027,33.698,34.388,35.318,36.443,37.686,39.055,40.545,42.549,45.231,49.898,55.898,61.898,67.898
7,14,20.51,24.373,26.992,29.251,31.604,34.012,36.235,37.941,39.31,40.643,42.078,43.843,45.78,47.694,49.624,51.498,53.588,56.271,61.329,68.329,75.329,82.329
8,16,23.388,27.333,30.012,32.706,35.631,38.682,41.616,44.141,46.333,48.467,50.671,53.22,55.906,58.447,60.922,63.271,65.565,68.247,73.745,81.745,89.745,97.745
9,18,26.329,30.447,33.173,36.259,39.718,43.424,47.137,50.545,53.631,56.616,59.659,63.063,66.561,69.792,72.839,75.667,78.196,80.878,86.859,95.859,104.86,113.86
10,20,29.314,33.655,36.4,39.847,43.749,47.89,52.122,56.176,59.953,63.694,67.467,71.506,75.584,79.322,82.78,86.027,88.82,91.502,98.055,108.05,118.04,128.04
11,22,32.275,36.914,39.78,43.631,47.714,52,56.357,60.514,64.408,68.314,72.267,76.4,80.561,84.416,88.02,91.435,94.451,97.2,104.31,115.29,126.24,137.2
12,24,35.027,40.031,43.22,47.369,51.694,56.153,60.675,64.949,68.984,73.071,77.29,81.541,85.816,89.808,93.584,97.243,100.55,103.5,110.99,122.88,134.76,146.67
13,26,37.804,43.247,46.933,51.447,56.051,60.722,65.447,69.945,74.239,78.667,83.608,88.071,92.561,96.765,100.76,104.77,108.42,111.68,119.62,132.44,145.3,158.16
13.976,27.965,40.663,46.588,50.812,55.843,60.824,65.961,71.188,76.169,80.741,85.647,91.416,96.227,101.03,105.69,110.18,114.58,118.58,122.25,130.74,144.5,158.31,172.11
14.957,29.941,43.612,50.157,54.898,60.471,65.925,71.522,77.204,82.576,87.49,93.016,99.588,104.89,109.96,115.04,119.93,124.67,129.1,133.2,142.31,157,171.74,186.47
15.949,31.933,46.6,53.878,59.133,65.173,71.137,77.239,83.502,89.349,94.62,100.52,107.56,113.22,118.62,124.13,129.48,134.63,139.45,143.98,153.83,169.46,185.15,200.84
16.941,33.918,49.569,57.804,63.91,70.447,76.863,83.455,90.231,96.565,102.26,108.45,115.71,121.64,127.47,133.41,139.19,144.74,149.95,155.28,166.03,182.57,199.19,215.8
17.937,35.91,52.545,61.765,68.859,75.976,82.784,89.78,96.949,103.57,109.53,116,123.53,129.69,135.76,142.02,148.19,154.07,159.79,166.06,177.76,195.24,212.8,230.35
18.925,37.886,55.506,65.702,73.788,81.651,88.812,96.173,103.65,110.58,116.83,123.48,131.17,137.53,143.89,150.44,156.93,163.15,169.63,176.82,189.44,207.85,226.33,244.82
19.914,39.863,58.455,69.627,78.698,87.369,94.831,102.45,110.23,117.51,124.15,131.2,139.27,146.02,152.75,159.61,166.35,173.02,180.42,188.53,202.08,221.41,240.83,260.25
20.91,41.839,61.4,73.533,83.514,92.62,100.45,108.27,116.24,123.86,130.98,138.56,147.07,154.28,161.38,168.47,175.39,182.33,190.27,199.33,213.8,234.07,254.44,274.82
21.89,43.792,64.337,77.467,88.196,97.486,105.74,113.86,122.02,129.8,137.09,144.82,153.45,160.8,168.05,175.26,182.47,189.62,197.75,207.64,223.01,244.2,265.51,286.81
22.871,45.757,67.302,81.431,92.733,102.13,110.77,119.29,127.75,135.72,143.15,151,159.75,167.22,174.6,182.05,189.67,197.07,205.24,215.85,232.18,254.24,276.47,298.67
23.855,47.675,69.898,84.455,95.965,105.45,114.42,123.4,132.25,140.5,148.15,156.16,165.07,172.71,180.33,188.15,196.19,203.82,212.04,223,240.06,262.96,286.05,309.18
