1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,4,6,8,10,12,14,16,18,19.992,21.945,23.875,25.808,27.784,29.784,31.784,33.784,35.784,37.784,39.784,41.784,43.784,45.784,47.784
3,6,9,12,15,18,20.992,23.776,26.224,28.475,30.596,32.663,34.733,36.925,39.447,42.404,45.404,48.404,51.404,54.404,57.404,60.404,63.404,66.404
4,8,12,16,20,23.824,27.133,29.976,32.431,34.698,36.843,38.933,41.02,43.227,45.765,49.008,52.345,55.8,59.592,63.576,67.576,71.576,75.576,79.576
5,10,15,20,24.682,28.62,31.937,34.82,37.31,39.616,41.796,43.914,46.02,48.247,50.812,54.063,57.404,60.867,64.745,69.078,73.914,78.914,83.914,88.914
6,12,18,23.718,28.451,32.396,35.741,38.659,41.184,43.525,45.725,47.871,50.039,52.345,55,58.318,61.694,65.196,69.133,73.51,78.518,84.349,90.349,96.349
7,14,20.973,26.918,31.651,35.608,38.973,41.91,44.478,46.91,49.282,51.686,54.157,56.78,59.769,63.302,66.804,70.376,74.365,78.78,83.8,89.941,96.933,103.93
8,16,23.686,29.639,34.38,38.353,41.78,44.812,47.537,50.278,53.137,56.078,59.055,62.212,65.639,69.498,73.251,76.992,81.051,85.486,90.529,96.737,104.57,112.57
9,18,26.106,32.059,36.808,40.843,44.467,47.784,50.882,54.169,57.667,61.263,64.875,68.643,72.604,76.882,80.969,84.965,89.153,93.608,98.675,104.92,113.53,122.53
10,20,28.424,34.376,39.149,43.373,47.267,50.863,54.314,58.031,62.067,66.302,70.522,74.776,79.125,83.737,88.102,92.376,96.8,101.31,106.38,112.69,122.13,132.13
11,22,30.839,36.792,41.639,46.161,50.353,54.306,58.173,62.212,66.576,71.275,75.914,80.482,85.208,90.31,95.078,99.675,104.43,109.08,114.16,120.6,130.97,141.97
12,24,33.49,39.443,44.42,49.318,53.824,58.059,62.188,66.51,71.243,76.533,81.678,86.592,91.612,96.969,102.01,106.92,112.05,116.92,122,128.74,140.11,152.11
13,26,36.361,42.471,47.624,52.953,57.827,62.42,66.882,71.635,76.898,82.878,88.58,93.949,99.349,105.02,110.39,115.65,121.23,126.33,131.46,138.82,151.18,164.17
14,28,39.267,45.675,51.094,56.902,62.392,67.718,72.91,78.361,84.196,90.855,97.133,103.08,109.22,115.62,121.71,127.61,133.69,139.08,144.4,152.43,165.8,179.76
15,29.996,42.263,49.267,54.992,61.231,67.325,73.435,79.341,85.329,91.71,98.976,105.82,112.29,119.02,126.17,133.04,139.54,146.07,151.8,157.44,166.28,180.64,195.59
16,31.992,45.259,53.059,59.208,65.824,72.337,78.941,85.275,91.62,98.267,105.78,112.86,119.64,126.76,134.39,141.78,148.7,155.6,161.74,167.87,177.68,193.02,208.96
17,33.992,48.259,57.031,63.8,70.769,77.573,84.427,90.988,97.627,104.58,112.44,119.84,126.95,134.4,142.27,149.94,157.15,164.38,170.99,177.99,188.8,205.13,222.06
18,35.992,51.259,61.031,68.769,76.251,83.329,90.412,97.161,103.98,111.18,119.32,127,134.33,141.96,150.05,157.95,165.44,172.98,180.35,188.36,200.15,217.47,235.4
19,37.992,54.259,65.031,73.769,81.969,89.349,96.729,103.81,110.95,118.48,126.98,135.01,142.67,150.66,159.09,167.29,175.02,182.96,191.27,200.27,213.06,231.37,250.3
20,39.992,57.259,69.031,78.769,87.878,95.635,103.3,110.74,118.29,126.28,135.25,143.78,151.91,160.3,169.1,177.56,185.54,194.16,203.47,213.46,227.25,246.57,266.49
21,41.992,60.259,73.031,83.769,93.843,102.04,110,117.78,125.73,134.21,143.72,152.78,161.36,170.14,179.25,187.97,196.34,205.92,216.24,227.22,242.01,262.33,283.25
22,43.992,63.259,77.031,88.769,99.682,108.27,116.53,124.59,132.84,141.65,151.51,160.88,169.74,178.78,188.15,197.1,205.96,216.54,227.85,239.84,255.63,276.94,298.87
23,45.992,66.259,81.031,93.769,105.53,114.49,123.09,131.4,139.87,148.89,158.94,168.5,177.54,186.76,196.34,205.53,214.94,226.52,238.83,251.82,268.61,290.92,313.85
24,47.992,69.259,85.031,98.769,111.51,120.97,129.96,138.65,147.42,156.66,166.91,176.64,185.85,195.3,205.17,214.69,224.73,237.31,250.62,264.61,282.4,305.71,329.64
