1,2,3,4,5,6,7,8,8.8118,9.3804,9.8941,10.494,11.243,12.02,12.78,13.443,14.231,15.208,16.208,17.208,18.208,19.208,20.208,21.208
2,4,6,8,9.9961,11.953,13.808,15.314,16.318,16.984,17.604,18.322,19.208,20.125,21.016,21.784,22.682,23.965,25.749,27.749,29.749,31.749,33.749,35.749
3,6,9,12,14.612,16.863,18.941,20.569,21.62,22.333,23.027,23.859,24.878,25.918,26.929,27.812,28.796,30.137,32.078,34.894,37.894,40.894,43.894,46.894
4,8,12,15.749,18.541,20.922,23.098,24.78,25.855,26.608,27.325,28.184,29.259,30.392,31.522,32.49,33.549,34.976,36.988,40.039,43.929,47.929,51.929,55.929
5,10,14.949,18.984,21.902,24.396,26.663,28.412,29.529,30.298,31.024,31.886,32.984,34.18,35.404,36.471,37.588,39.067,41.153,44.271,48.459,53.42,58.42,63.42
6,12,17.753,21.949,25.016,27.612,29.965,31.784,33.004,33.976,34.925,35.941,37.118,38.341,39.612,40.749,41.941,43.498,45.647,48.812,53.078,58.592,64.592,70.592
7,14,20.58,24.918,28.075,30.745,33.153,35.188,37,38.796,40.506,42.129,43.706,45.145,46.525,47.722,48.976,50.604,52.812,56.024,60.361,66.137,73.122,80.122
8,16,23.384,27.812,31.008,33.706,36.224,38.843,41.471,44.122,46.682,49.067,51.275,53.157,54.737,56.004,57.302,58.957,61.196,64.443,68.843,74.859,82.8,90.8
9,18,26.114,30.612,33.839,36.553,39.29,42.553,46.027,49.584,53.067,56.337,59.384,61.937,63.929,65.357,66.722,68.42,70.698,73.992,78.467,84.549,93.196,102.2
10,20,28.98,33.596,36.855,39.631,42.737,46.655,50.906,55.255,59.525,63.62,67.51,70.792,73.369,75.114,76.667,78.482,80.812,84.141,88.678,94.788,104.05,114.05
11,22,31.867,36.6,39.886,42.871,46.443,50.675,55.165,59.714,64.275,68.918,73.345,76.878,79.612,81.518,83.275,85.345,87.796,91.165,95.745,101.91,111.97,122.97
12,24,34.824,39.796,43.133,46.506,50.522,55.008,59.647,64.333,69.078,74.349,79.333,83,85.859,87.898,89.894,92.318,95.078,98.498,103.13,109.64,120.68,132.68
13,26,37.824,43.42,46.875,50.71,55.278,60.247,65.278,70.373,75.596,81.612,87.267,91.373,94.639,97.055,99.49,102.39,105.55,109.04,113.87,121.12,133.16,146.16
14,28,40.824,47.29,51.082,55.431,60.655,66.463,72.373,78.196,83.957,90.702,97.012,101.62,105.56,108.78,111.93,115.37,118.93,122.59,127.84,136.04,149.07,163.07
15,30,43.824,51.29,55.725,60.537,66.341,72.788,79.353,85.647,91.894,99.298,106.25,111.31,115.71,119.55,123.31,127.25,131.2,135.19,141.22,150.42,164.46,179.46
16,32,46.824,55.29,60.69,66.137,72.353,79.106,85.918,92.557,99.176,107.09,114.52,119.9,124.61,128.66,132.72,137.04,141.46,146.25,153.29,163.49,178.53,194.53
17,34,49.824,59.29,65.69,71.976,78.616,85.714,92.812,99.765,106.67,114.74,122.31,127.96,132.95,137.26,141.6,146.27,151.36,157.16,165.19,176.39,192.43,209.43
18,36,52.824,63.29,70.69,77.929,85.051,92.604,100.13,107.37,114.56,122.98,130.91,136.81,142.07,146.77,151.5,156.52,162.44,169.23,178.26,190.46,207.5,225.5
19,38,55.824,67.29,75.69,83.929,91.749,99.659,107.61,115.27,122.85,131.69,140.01,146.26,151.92,157,162.04,167.46,174.33,182.13,192.16,205.36,223.4,242.4
20,40,58.824,71.29,80.69,89.929,98.612,106.82,115.07,123.18,131.15,140.28,148.91,155.57,161.65,167.02,172.27,178.04,185.83,194.62,205.65,219.85,238.89,258.89
21,42,61.824,75.29,85.69,95.922,105.29,113.82,122.27,130.74,139.24,148.89,158.02,165.24,171.66,177.19,182.67,188.66,197.2,206.93,218.96,234.16,254.2,275.2
22,44,64.824,79.255,90.471,101.21,111.36,120.26,129.05,137.65,146.32,156.15,165.47,172.85,179.39,185.11,190.89,197.1,206.47,216.61,229.27,245.36,266.39,288.39
22.929,45.863,67.478,82.463,94.078,105.24,116.29,125.82,135.15,144.24,153.28,163.49,173.2,180.96,187.91,194.12,200.4,207.11,217.42,228.13,241.11,257.64,279.3,302.13
23.918,47.839,70.439,86.42,99.035,111.2,123.24,133.77,144.09,154.18,164.23,175.44,186.15,194.91,202.85,210.07,217.35,225.06,236.35,248.06,262.04,279.56,302.22,326.03
