1,2,3,4,5,6,7,8,9,10,11,12,13,14,14.996,15.992,16.988,17.988,18.988,19.984,20.965,21.957,22.929,23.898
2,4,6,8,10,12,14,16,18,19.988,21.922,23.812,25.718,27.675,29.667,31.663,33.659,35.659,37.655,39.647,41.62,43.596,45.557,47.506
3,6,9,12,15,18,21,23.969,26.718,29.243,31.612,33.882,36.137,38.451,40.871,43.467,46.302,49.298,52.294,55.282,58.239,61.192,64.129,67.059
4,8,12,16,20,23.996,27.769,31.145,34.271,37.286,40.192,42.984,45.737,48.498,51.282,54.114,57.137,60.671,64.643,68.631,72.584,76.533,80.455,84.353
5,10,15,20,24.973,29.525,33.494,37.235,40.925,44.51,47.98,51.353,54.675,57.965,61.247,64.549,67.937,71.659,76.137,81.043,85.996,90.941,95.835,100.7
6,12,18,23.98,29.4,34.075,38.451,42.757,47,51.188,55.302,59.353,63.329,67.239,71.078,74.847,78.671,82.792,87.42,92.545,98.212,104.16,110.03,115.86
7,14,21,27.596,33.106,38.035,42.937,47.765,52.616,57.494,62.302,67.039,71.69,76.255,80.706,85.004,89.243,93.745,98.647,103.85,109.64,116.24,123.08,129.87
8,16,23.906,30.718,36.329,41.576,46.961,52.318,57.773,63.298,68.776,74.176,79.482,84.659,89.678,94.486,99.141,104,109.17,114.49,120.34,127.13,134.8,142.56
9,18,26.525,33.42,39.141,44.718,50.573,56.463,62.522,68.702,74.831,80.882,86.816,92.612,98.196,103.47,108.54,113.74,119.18,124.61,130.5,137.34,145.57,154.28
10,20,29.027,35.973,41.804,47.737,53.957,60.094,66.361,72.875,79.514,86.114,92.561,98.757,104.54,109.96,115.23,120.73,126.45,131.99,137.91,144.77,153.49,163.17
11,22,31.584,38.588,44.541,50.816,57.22,63.49,69.875,76.506,83.38,90.443,97.271,103.61,109.49,115.02,120.4,126.07,132.06,137.74,143.69,150.57,159.91,170.53
12,24,34.145,41.18,47.271,53.91,60.561,67.012,73.502,80.255,87.294,94.882,102.16,108.62,114.61,120.24,125.75,131.57,137.8,143.64,149.61,156.52,166.43,177.98
13,26,36.882,43.957,50.235,57.322,64.29,71.004,77.722,84.745,92.106,100.2,107.94,114.66,120.89,126.73,132.44,138.47,144.99,151.05,157.03,163.96,174.38,186.85
14,28,39.776,47.02,53.502,61.063,68.475,75.631,82.78,90.282,98.055,106.77,115.03,122.07,128.73,134.96,141.07,147.47,154.33,160.64,166.67,173.66,184.68,198.04
14.996,29.996,42.773,50.6,57.298,65.306,73.2,80.91,88.663,96.627,104.8,114.07,122.78,130.08,137.14,143.87,150.44,157.2,164.35,170.9,176.98,184.19,195.95,210.15
15.996,31.996,45.773,54.416,61.478,69.902,78.212,86.396,94.608,102.93,111.3,120.77,129.63,137.07,144.4,151.47,158.36,165.4,172.78,179.58,185.84,193.4,205.95,220.93
16.996,33.988,48.765,58.271,65.784,74.612,83.302,91.89,100.48,109.13,117.77,127.4,136.42,144.11,151.7,159.06,166.24,173.51,181.13,188.18,194.7,202.72,216.05,231.78
17.996,35.984,51.757,62.216,70.329,79.561,88.616,97.533,106.43,115.35,124.25,134.18,143.49,151.4,159.22,166.84,174.27,181.78,189.64,196.93,203.76,212.4,226.44,242.84
18.992,37.969,54.718,66.149,75.145,84.804,94.22,103.44,112.54,121.68,130.83,141.02,150.57,158.67,166.65,174.44,182.11,189.87,197.95,205.57,213.04,222.39,237.09,254.16
19.976,39.922,57.631,70.004,79.961,90.169,99.918,109.45,118.87,128.33,137.74,148.15,157.9,166.24,174.46,182.5,190.41,198.38,206.66,214.78,222.96,232.98,248.35,266.04
20.949,41.875,60.557,73.906,84.71,95.302,105.36,115.19,124.95,134.82,144.66,155.46,165.6,174.31,182.82,191.1,199.2,207.35,215.9,224.69,233.58,244.25,260.28,278.62
21.89,43.69,63.196,77.404,88.737,99.431,109.73,119.81,129.89,140.13,150.38,161.6,172.12,181.17,189.94,198.43,206.71,215.01,223.76,233.15,242.74,254.1,270.79,289.76
22.733,45.325,65.471,80.38,92.333,103.15,113.55,123.8,134.07,144.56,155.05,166.51,177.24,186.49,195.45,204.1,212.49,220.94,229.8,239.51,249.82,261.85,279.19,298.81
23.596,47.012,67.765,83.38,96.031,107.25,117.69,128.06,138.46,149.09,159.76,171.41,182.33,191.73,200.82,209.55,218.04,226.64,235.57,245.42,256.31,269.02,287.03,307.28
