1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,4,6,8,10,12,14,16,18,19.945,21.812,23.639,25.459,27.325,29.298,31.298,33.298,35.298,37.298,39.298,41.298,43.298,45.298,47.298
3,6,9,12,15,18,20.98,23.706,26.059,28.161,30.118,32.004,33.871,35.82,38.051,40.824,43.804,46.773,49.773,52.773,55.773,58.773,61.773,64.773
4,8,12,16,20,23.792,27.055,29.816,32.18,34.302,36.29,38.208,40.098,42.067,44.302,47.176,50.349,53.518,57,60.8,64.788,68.788,72.788,76.788
5,10,15,20,24.675,28.565,31.839,34.643,37.043,39.208,41.231,43.173,45.082,47.071,49.333,52.22,55.4,58.58,62.09,65.984,70.388,75.298,80.298,85.298
6,12,18,23.745,28.475,32.369,35.671,38.506,40.941,43.137,45.18,47.153,49.137,51.212,53.58,56.549,59.769,62.984,66.549,70.498,74.929,80.161,86.129,92.129
7,14,20.992,27.008,31.737,35.643,38.961,41.816,44.298,46.588,48.808,51.043,53.337,55.737,58.467,61.675,65.043,68.349,71.973,75.953,80.416,85.659,92.212,99.212
8,16,23.788,29.835,34.573,38.502,41.882,44.831,47.475,50.082,52.796,55.565,58.357,61.294,64.478,68.027,71.671,75.165,78.886,82.886,87.373,92.616,99.467,107.47
9,18,26.333,32.38,37.129,41.129,44.706,47.929,50.941,54.086,57.443,60.859,64.278,67.816,71.553,75.545,79.537,83.302,87.192,91.231,95.733,100.98,108.1,117.1
10,20,28.792,34.839,39.608,43.788,47.635,51.137,54.506,58.094,62.008,66.067,70.102,74.133,78.267,82.596,86.871,90.906,95.051,99.196,103.71,108.95,116.4,126.4
11,22,31.396,37.443,42.263,46.718,50.851,54.682,58.42,62.294,66.537,71.055,75.514,79.847,84.325,89.118,93.812,98.165,102.63,106.99,111.53,116.77,124.71,135.71
12,24,34.247,40.361,45.271,50.09,54.545,58.675,62.69,66.863,71.459,76.533,81.482,86.153,90.933,95.976,100.94,105.59,110.4,115.05,119.63,124.88,133.51,145.51
13,26,37.247,43.69,48.722,53.953,58.725,63.145,67.42,71.953,77.039,82.773,88.286,93.396,98.51,103.82,109.07,114.04,119.25,124.25,128.88,134.33,143.89,156.89
14,28,40.243,47.086,52.337,58.035,63.345,68.373,73.267,78.443,84.082,90.475,96.565,102.25,108.05,114.02,119.94,125.52,131.24,136.61,141.4,147.15,157.6,171.58
15,29.996,43.239,50.714,56.282,62.388,68.231,73.906,79.482,85.231,91.396,98.404,105.07,111.26,117.69,124.4,131.02,137.18,143.32,149.06,154.09,160.24,171.62,186.56
15.996,31.98,46.224,54.569,60.525,66.98,73.239,79.412,85.482,91.608,98.086,105.4,112.36,118.9,125.76,133.04,140.22,146.82,153.31,159.41,164.78,171.57,183.91,199.83
16.988,33.965,49.2,58.522,65.098,71.886,78.455,84.965,91.4,97.859,104.59,112.18,119.39,126.24,133.51,141.21,148.77,155.72,162.51,168.97,174.87,182.57,195.89,212.77
17.984,35.961,52.192,62.514,70.031,77.361,84.212,91.004,97.71,104.43,111.49,119.45,127.03,134.2,141.76,149.75,157.6,164.84,171.92,178.87,185.69,194.36,208.65,226.52
18.984,37.957,55.188,66.506,75.024,83.169,90.341,97.427,104.37,111.31,118.62,126.84,134.69,142.11,149.92,158.16,166.3,173.8,181.16,188.82,196.64,206.3,221.57,240.42
19.98,39.949,58.18,70.498,80.016,89.133,96.773,104.13,111.38,118.68,126.36,134.95,143.19,151.02,159.2,167.75,176.13,183.86,191.61,200.2,209,219.65,235.91,255.74
20.976,41.941,61.173,74.49,85.008,95.125,103.37,111.01,118.57,126.23,134.38,143.49,152.24,160.51,169.05,177.89,186.51,194.47,202.85,212.44,222.24,233.87,251.12,271.94
21.976,43.941,64.173,78.49,90.008,101.03,109.64,117.58,125.42,133.38,141.84,151.29,160.35,168.89,177.69,186.78,195.64,203.82,212.94,223.53,234.32,246.95,265.19,287
22.976,45.941,67.173,82.49,95.008,106.95,115.87,124.15,132.23,140.41,149.1,158.75,168,176.73,185.72,195,204.06,212.5,222.41,234,245.78,259.4,278.65,301.46
23.976,47.941,70.173,86.49,100.01,112.95,122.38,131.01,139.43,147.85,156.74,166.57,175.98,184.88,194.04,203.53,212.87,221.65,232.39,244.98,257.77,272.39,292.63,316.44
