1,2,3,4,5,6,7,8,9,10,11,12,13,13.996,14.992,15.992,16.992,17.992,18.992,19.992,20.992,21.992,22.992,23.992
2,4,6,8,10,12,14,16,17.878,19.467,20.831,22.176,23.655,25,26.286,27.722,29.427,31.384,33.384,35.384,37.384,39.384,41.384,43.384
3,6,9,12,15,18,20.937,23.494,25.6,27.263,28.671,30.067,31.6,32.984,34.31,35.804,37.635,39.918,42.694,45.694,48.694,51.694,54.694,57.694
4,8,12,16,20,23.863,27.188,29.918,32.122,33.843,35.29,36.722,38.294,39.714,41.086,42.651,44.58,46.992,49.973,53.6,57.6,61.6,65.6,69.6
5,10,15,20,24.875,29.102,32.647,35.518,37.816,39.592,41.086,42.557,44.173,45.627,47.039,48.655,50.667,53.208,56.357,60.192,64.831,69.831,74.831,79.831
6,12,18,23.973,29.275,33.741,37.49,40.518,42.937,44.839,46.447,47.992,49.694,51.224,52.702,54.408,56.525,59.22,62.565,66.6,71.439,77.204,83.204,89.204
7,14,21,27.667,33.161,37.749,41.62,44.788,47.345,49.424,51.212,52.929,54.808,56.502,58.141,60.027,62.341,65.204,68.702,72.937,77.898,83.953,90.914,97.914
8,16,23.976,31,36.592,41.255,45.184,48.408,51.063,53.286,55.239,57.078,59.063,60.863,62.604,64.58,67,69.976,73.533,77.882,82.961,89.102,96.671,104.67
9,18,26.737,33.922,39.6,44.345,48.314,51.592,54.333,56.686,58.741,60.624,62.643,64.478,66.263,68.278,70.737,73.788,77.388,81.788,86.945,93.173,100.95,109.88
10,20,29.137,36.416,42.184,47.008,51.016,54.357,57.192,59.678,61.808,63.714,65.757,67.624,69.486,71.557,74.047,77.161,80.804,85.243,90.451,96.753,104.58,114.09
11,21.863,31.161,38.529,44.361,49.243,53.529,57.173,60.224,62.925,65.329,67.596,69.922,71.976,74.035,76.318,79.016,82.353,86.086,90.549,95.792,102.14,110.02,119.72
12,23.596,32.973,40.412,46.294,51.357,56.055,59.976,63.208,66.114,68.839,71.965,74.984,77.263,79.51,81.933,84.796,88.463,92.506,97.063,102.33,108.71,116.63,126.41
13,25.212,34.627,42.106,48.059,53.584,58.741,63.016,66.561,69.859,73.09,77.149,80.992,83.78,86.49,89.4,92.8,97.047,101.67,106.57,111.85,118.25,126.22,136.07
14,26.647,36.106,43.604,49.694,55.922,61.945,67.102,71.486,75.631,79.627,84.62,89.31,92.8,96.416,100.22,104.55,109.65,114.89,120.15,125.46,131.87,139.87,149.78
15,28,37.522,45.051,51.251,58.106,64.976,71.11,76.494,81.522,86.22,92.11,97.596,101.68,106.12,110.86,116,121.73,127.45,132.97,138.29,144.73,152.75,162.72
16,29.392,38.988,46.58,52.839,60.129,67.612,74.553,80.847,86.576,91.694,97.953,103.75,108.17,113.2,118.67,124.44,130.6,136.67,142.38,147.72,154.2,162.27,172.3
17,30.886,40.561,48.251,54.58,62.192,70.204,77.8,84.859,91.325,96.878,103.41,109.47,114.37,120.1,126.17,132.41,138.96,145.36,151.24,156.63,163.2,171.35,181.51
18,32.6,42.376,50.145,56.529,64.388,72.859,80.988,88.659,95.729,101.88,108.99,115.6,121.02,127.2,133.76,140.42,147.31,154.01,160.06,165.5,172.16,180.36,190.91
19,34.525,44.518,52.337,58.757,66.776,75.714,84.392,92.482,99.867,106.36,113.9,120.93,126.7,133.2,140.06,147.2,154.46,161.44,167.56,173.02,179.68,187.98,199.26
20,36.525,47.075,55,61.427,69.498,78.898,88.149,96.761,104.68,111.71,119.77,127.41,133.83,140.94,148.29,155.85,163.52,170.79,177.05,182.77,189.78,198.81,211.09
21,38.525,50.067,58.831,65.706,74.153,84.098,93.859,103.02,111.56,119.37,128.38,136.98,144.27,152.06,159.95,167.98,176.07,183.61,190.22,196.72,204.72,214.75,228.03
22,40.525,53.067,62.831,70.706,80.153,90.918,101.09,110.71,119.75,128.13,137.71,146.88,154.66,162.89,171.15,179.49,187.86,195.64,202.34,208.89,217.48,228.49,242.76
23,42.525,56.067,66.831,75.596,85.592,96.569,107.02,116.93,126.27,134.96,144.85,154.31,162.38,170.88,179.39,187.97,196.59,204.66,211.65,218.43,227.44,239.01,254.16
23.886,44.294,58.686,70.004,79.122,89.275,100.32,111.04,121.26,130.87,139.85,150.05,159.82,168.18,176.96,185.73,194.57,203.54,212.05,219.5,226.59,235.99,247.96,263.62
