1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,4,6,8,10,12,14,16,17.984,19.875,21.671,23.416,25.149,26.941,28.878,30.878,32.878,34.878,36.878,38.878,40.878,42.878,44.878,46.878
3,6,9,12,15,18,20.953,23.588,25.839,27.831,29.678,31.451,33.2,35.035,37.161,39.863,42.796,45.722,48.722,51.722,54.722,57.722,60.722,63.722
4,8,12,16,20,23.722,26.882,29.537,31.804,33.824,35.706,37.51,39.286,41.145,43.282,46.051,49.11,52.169,55.565,59.282,63.251,67.251,71.251,75.251
5,10,15,20,24.596,28.376,31.553,34.251,36.553,38.616,40.529,42.357,44.153,46.031,48.196,50.98,54.051,57.129,60.557,64.341,68.647,73.514,78.514,83.514
6,12,18,23.69,28.318,32.106,35.31,38.039,40.376,42.467,44.404,46.275,48.165,50.149,52.439,55.318,58.435,61.549,65.031,68.871,73.2,78.329,84.275,90.275
7,14,20.98,26.906,31.533,35.333,38.553,41.302,43.69,45.894,48.039,50.208,52.431,54.773,57.443,60.573,63.855,67.071,70.612,74.482,78.843,83.98,90.463,97.463
8,16,23.749,29.694,34.329,38.157,41.451,44.31,46.875,49.42,52.086,54.804,57.541,60.431,63.561,67.039,70.604,74.016,77.663,81.557,85.941,91.078,97.847,105.85
9,18,26.275,32.22,36.863,40.769,44.275,47.424,50.38,53.478,56.792,60.165,63.541,67.035,70.725,74.655,78.573,82.259,86.082,90.02,94.42,99.557,106.6,115.6
10,20,28.741,34.686,39.349,43.447,47.224,50.635,53.922,57.427,61.271,65.271,69.243,73.2,77.251,81.498,85.694,89.647,93.733,97.788,102.2,107.34,114.71,124.71
11,22,31.369,37.314,42.031,46.416,50.486,54.247,57.929,61.737,65.902,70.353,74.737,79,83.416,88.145,92.776,97.055,101.46,105.75,110.19,115.33,123.2,134.2
12,24,34.247,40.275,45.082,49.835,54.216,58.251,62.173,66.263,70.788,75.82,80.71,85.31,90.008,94.953,99.827,104.38,109.14,113.73,118.21,123.35,131.96,143.96
13,26,37.247,43.631,48.569,53.741,58.463,62.824,67.043,71.529,76.561,82.255,87.714,92.773,97.839,103.09,108.29,113.2,118.38,123.31,127.84,133.22,142.76,155.76
14,28,40.243,47.027,52.2,57.839,63.106,68.094,72.961,78.102,83.682,90.031,96.067,101.7,107.47,113.41,119.31,124.84,130.51,135.82,140.53,146.19,156.62,170.6
15,29.996,43.239,50.694,56.188,62.227,68.02,73.643,79.176,84.867,90.969,97.922,104.52,110.65,117.03,123.7,130.28,136.38,142.47,148.14,153.09,159.19,170.54,185.48
16,31.984,46.227,54.565,60.467,66.851,73.043,79.149,85.157,91.208,97.588,104.81,111.66,118.12,124.91,132.13,139.25,145.78,152.2,158.24,163.55,170.31,182.63,198.55
16.992,33.973,49.208,58.529,65.082,71.804,78.298,84.729,91.09,97.475,104.14,111.67,118.81,125.58,132.8,140.42,147.91,154.78,161.51,167.9,173.78,181.47,194.76,211.65
17.988,35.969,52.2,62.522,70.039,77.337,84.114,90.827,97.443,104.07,111.04,118.92,126.4,133.49,140.95,148.85,156.64,163.78,170.8,177.71,184.54,193.2,207.47,225.34
18.988,37.965,55.196,66.514,75.031,83.165,90.271,97.278,104.14,111.01,118.23,126.38,134.13,141.49,149.22,157.39,165.45,172.86,180.16,187.79,195.62,205.27,220.52,239.37
19.984,39.957,58.188,70.506,80.024,89.141,96.737,104.02,111.18,118.41,126.02,134.56,142.73,150.5,158.61,167.08,175.38,183.02,190.73,199.31,208.12,218.76,235,254.84
20.98,41.949,61.18,74.498,85.016,95.133,103.32,110.88,118.36,125.95,134.02,143.06,151.74,159.93,168.39,177.15,185.69,193.56,201.93,211.51,221.31,232.93,250.16,270.99
21.98,43.949,64.18,78.498,90.016,101.03,109.56,117.43,125.18,133.05,141.43,150.79,159.75,168.2,176.91,185.91,194.69,202.78,211.89,222.48,233.27,245.89,264.12,285.94
22.98,45.949,67.18,82.498,95.016,106.96,115.81,124.02,132.01,140.1,148.69,158.25,167.4,176.04,184.93,194.12,203.1,211.46,221.36,232.94,244.73,258.35,277.57,300.39
23.98,47.949,70.18,86.498,100.02,112.96,122.36,130.92,139.26,147.6,156.4,166.14,175.45,184.25,193.33,202.73,212,220.71,231.45,244.04,256.82,271.44,291.67,315.48
