1,2,3,4,5,6,7,8,9,10,11,12,12.992,13.988,14.988,15.988,16.988,17.988,18.988,19.988,20.988,21.988,22.988,23.988
2,4,6,8,10,12,14,16,17.902,19.522,20.914,22.247,23.506,24.8,26.506,28.455,30.376,32.357,34.357,36.357,38.357,40.357,42.357,44.357
3,6,9,12,15,18,20.969,23.545,25.596,27.239,28.643,29.992,31.267,32.576,34.373,36.498,38.576,40.918,43.745,46.745,49.745,52.745,55.745,58.745
4,8,12,16,20,23.925,27.239,29.871,31.976,33.663,35.122,36.529,37.839,39.18,41.004,43.129,45.224,47.592,50.592,54.353,58.353,62.353,66.353,70.353
5,10,15,20,24.949,29.196,32.561,35.271,37.443,39.196,40.733,42.188,43.518,44.871,46.722,48.875,50.98,53.369,56.376,60.231,64.898,69.898,74.898,79.898
6,12,18,24,29.388,33.682,37.122,39.918,42.169,43.992,45.565,47.039,48.4,49.851,51.847,54.114,56.259,58.651,61.671,65.525,70.29,76.09,82.09,88.09
7,14,21,27.741,33.192,37.518,41.004,43.875,46.188,48.055,49.698,51.302,52.894,54.71,57.063,59.608,61.89,64.314,67.341,71.208,75.973,82.294,89.29,96.29
8,16,24,31.047,36.514,40.863,44.38,47.294,49.647,51.592,53.408,55.298,57.263,59.478,62.224,65.082,67.576,70.102,73.153,77.027,81.792,88.49,96.486,104.49
9,18,26.835,33.957,39.443,43.812,47.353,50.286,52.741,54.922,57.067,59.337,61.722,64.373,67.584,70.831,73.62,76.318,79.412,83.298,88.063,95.031,104.03,113.03
10,20,29.596,36.745,42.243,46.631,50.208,53.18,55.788,58.267,60.816,63.533,66.384,69.49,73.122,76.671,79.69,82.584,85.729,89.624,94.388,101.64,111.63,121.63
11,22,32.459,39.686,45.224,49.827,53.541,56.686,59.612,62.345,65.137,68.235,71.478,74.843,78.686,82.482,85.706,88.824,92.075,95.976,100.75,108.52,119.45,130.44
12,24,35.384,42.788,48.498,53.529,57.506,60.871,64.035,67.055,70.184,73.718,77.416,81.102,85.239,89.29,92.733,96.094,99.62,103.61,108.47,117.06,128.91,140.82
13,26,38.271,45.933,51.941,57.455,61.843,65.561,69.031,72.416,76.016,80.098,84.38,88.498,92.984,97.29,101.01,104.7,108.62,112.83,117.85,127.22,140.04,152.83
14,28,41.212,49.298,55.702,61.722,66.655,70.894,74.859,78.792,82.878,87.506,92.376,96.933,101.91,106.67,110.84,114.99,119.33,123.84,129.17,139.39,153.13,166.85
14.996,29.988,44.2,52.918,59.784,66.251,71.698,76.561,81.153,85.62,90.125,95.337,100.84,105.8,111.2,116.49,121.16,125.76,130.47,135.34,141.17,152.31,166.96,181.61
15.992,31.973,47.18,56.761,64.106,70.961,76.824,82.188,87.329,92.255,97.118,102.7,108.58,113.87,119.65,125.4,130.51,135.45,140.49,145.74,152.32,164.39,179.99,195.56
16.984,33.957,50.153,60.725,68.773,76.008,82.271,88.055,93.682,99.075,104.19,109.98,116.04,121.53,127.69,133.87,139.35,144.61,149.95,155.83,163.31,176.28,192.82,209.31
17.976,35.937,53.118,64.682,73.596,81.255,87.933,94.118,100.15,105.97,111.49,117.68,124.16,130.05,136.59,143.16,148.97,154.55,160.24,166.95,175.3,189.18,206.65,224.06
18.973,37.925,56.09,68.647,78.522,86.725,93.78,100.33,106.67,112.7,118.39,124.76,131.42,137.46,144.18,151.02,157.15,163.03,169.23,176.83,186.1,200.88,219.27,237.62
19.961,39.894,59.02,72.537,83.29,92.208,99.549,106.4,113.03,119.32,125.23,131.84,138.73,144.95,151.89,158.96,165.34,171.53,178.54,187.07,197.27,212.98,232.3,251.58
20.957,41.875,61.992,76.204,87.082,96.169,103.75,110.81,117.7,124.26,130.4,137.18,144.23,150.65,157.84,165.14,171.7,178.39,186.3,195.76,206.89,223.54,243.79,263.99
21.953,43.859,64.973,79.616,90.565,99.725,107.6,114.84,121.92,128.73,135.14,142.18,149.47,156.16,163.58,171.05,177.77,184.86,193.47,203.8,215.84,233.37,254.53,275.67
22.945,45.851,67.91,82.863,94.027,103.34,111.5,119.07,126.33,133.27,139.82,147,154.43,161.26,168.8,176.41,183.37,190.54,199.19,210.04,222.98,241.43,263.51,285.54
23.851,47.349,69.761,84.863,96.373,106.05,114.47,122.41,130.04,137.21,143.89,151.19,158.75,165.69,173.38,181.25,188.51,195.79,204.48,215.49,229.22,248.53,271.46,294.32
