1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,4,6,8,10,12,14,16,18,20,21.984,23.925,25.827,27.769,29.769,31.769,33.769,35.769,37.769,39.769,41.769,43.769,45.769,47.769
2.8627,5.8235,8.8235,11.824,14.824,17.824,20.824,23.824,26.71,29.325,31.588,33.702,35.745,37.863,40.231,42.922,45.882,48.882,51.882,54.882,57.882,60.882,63.882,66.882
3.4039,6.9765,10.753,14.714,18.714,22.714,26.624,30.071,33.067,35.69,37.953,40.075,42.149,44.294,46.69,49.435,52.659,56.451,60.451,64.451,68.451,72.451,76.451,80.451
3.9412,8.0275,12.314,16.902,21.8,26.655,30.773,34.22,37.22,39.851,42.125,44.278,46.42,48.612,51.035,53.839,57.094,61,65.694,70.694,75.694,80.694,85.694,90.694
4.4706,9.0902,13.902,19.024,24.4,29.404,33.522,37.008,40.082,42.839,45.298,47.706,50.18,52.659,55.263,58.176,61.482,65.412,70.2,75.902,81.902,87.902,93.902,99.902
4.9922,10.114,15.431,21.063,26.616,31.62,35.839,39.51,42.827,45.914,48.769,51.592,54.51,57.455,60.565,63.957,67.608,71.682,76.51,82.396,89.314,96.314,103.31,110.31
5.5059,11.137,16.961,23.004,28.596,33.655,38.071,41.965,45.557,49.012,52.275,55.506,58.855,62.286,65.953,69.953,74.184,78.655,83.604,89.518,97.067,105.07,113.07,121.07
6.0235,12.173,18.506,24.776,30.369,35.51,40.125,44.243,48.098,51.894,55.541,59.169,62.937,66.831,71.047,75.643,80.498,85.51,90.655,96.584,104.44,113.43,122.43,131.43
6.5255,13.184,19.988,26.447,32.039,37.271,42.102,46.431,50.525,54.647,58.706,62.749,66.914,71.259,75.945,80.957,86.259,91.871,97.49,103.5,111.4,121.11,131.11,141.11
7.0235,14.192,21.463,28.125,33.718,39.047,44.035,48.451,52.647,56.878,61.137,65.518,70.004,74.573,79.424,84.651,90.239,96.235,102.49,108.7,116.65,126.97,137.97,148.97
7.5294,15.196,22.953,29.973,35.604,41.051,46.165,50.675,54.973,59.251,63.561,68.176,73.118,77.976,82.969,88.384,94.345,100.93,107.9,114.42,122.59,133.69,145.69,157.69
8.0314,16.196,24.416,31.831,37.549,43.145,48.463,53.086,57.467,61.804,66.208,71.067,76.518,81.761,86.98,92.757,99.204,106.36,114.02,120.96,129.47,141.38,154.38,167.38
8.5255,17.176,25.859,33.655,39.482,45.231,50.773,55.576,60.129,64.627,69.208,74.318,80.271,86.082,91.761,98.004,105.02,112.82,121.18,128.6,137.58,150.39,164.39,178.39
9.0196,18.169,27.333,35.576,41.616,47.525,53.302,58.31,63.067,67.769,72.537,77.929,84.439,90.859,97.102,103.86,111.48,119.99,129.13,137.17,146.69,160.47,175.47,190.47
9.5059,19.137,28.753,37.451,43.78,49.871,55.878,61.102,66.078,70.976,75.89,81.439,88.333,95.184,101.96,109.29,117.6,126.85,136.77,145.45,155.64,170.39,186.39,202.39
9.9922,20.094,30.169,39.322,45.984,52.294,58.533,63.973,69.149,74.192,79.176,84.843,91.929,98.969,106,113.78,122.77,132.76,143.42,152.92,164.02,179.77,196.76,213.76
10.478,21.043,31.557,41.137,48.278,55.196,61.71,67.361,72.671,77.765,82.82,88.647,95.973,103.29,110.54,118.49,128.07,138.79,150.22,160.69,172.79,189.53,207.53,225.52
10.957,21.961,32.906,42.906,50.525,58.063,64.918,70.773,76.224,81.439,86.643,92.671,100.23,107.91,115.67,124,134.13,145.58,157.76,169.2,182.3,200.04,219.03,238.02
11.4,22.831,34.204,44.624,52.714,60.749,67.988,74.071,79.667,85.016,90.392,96.667,104.57,112.66,120.92,129.69,140.38,152.55,165.26,177.39,191.48,210.22,230.21,250.2
11.831,23.682,35.463,46.349,55.031,63.537,71.125,77.447,83.184,88.604,94.043,100.48,108.68,117.02,125.5,134.55,145.77,158.67,171.83,184.33,199.28,219.01,240,260.98
12.231,24.478,36.643,47.929,57.09,65.98,73.886,80.443,86.357,91.882,97.369,103.87,112.18,120.66,129.38,138.87,150.73,164.32,177.91,190.63,206.33,226.98,248.96,270.94
12.624,25.251,37.788,49.443,58.965,68.184,76.4,83.173,89.267,94.969,100.61,107.3,115.94,124.88,134.19,144.3,156.77,171.02,185.15,198.04,214.45,235.98,258.93,281.9
12.992,25.988,38.89,50.878,60.651,70.224,78.796,85.765,92.039,97.918,103.72,110.62,119.69,129.18,139.05,149.75,162.83,177.73,192.51,205.87,223.04,245.41,269.3,293.27
