1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48
3,6,9,12,15,18,21,24,26.969,29.773,32.4,34.929,37.451,40.016,42.827,45.788,48.765,51.765,54.765,57.765,60.765,63.765,66.765,69.765
4,8,12,16,20,24,27.973,31.608,34.835,37.729,40.392,42.929,45.451,48.035,50.933,54.141,57.357,60.875,64.792,68.792,72.792,76.792,80.792,84.792
5,10,15,20,25,29.922,34.247,37.929,41.2,44.133,46.867,49.592,52.435,55.459,58.784,62.216,65.498,69.031,73.133,77.769,82.761,87.761,92.761,97.761
6,12,18,24,30,35.318,39.659,43.4,46.749,49.914,53.137,56.553,60.141,63.863,67.839,71.769,75.29,78.965,83.118,87.792,93.29,99.29,105.29,111.29
7,14,21,28,34.639,39.988,44.494,48.451,52.278,56.243,60.302,64.553,68.976,73.494,78.22,82.776,86.694,90.631,94.933,99.667,105.22,111.84,118.84,125.84
8,16,24,31.969,38.804,44.298,49.22,53.675,58.145,62.949,67.867,72.949,78.184,83.514,89.016,94.231,98.718,103.06,107.64,112.45,118.02,124.82,132.76,140.76
9,18,27,35.769,42.694,48.596,54.02,59.043,64.196,69.816,75.592,81.545,87.616,93.757,100.08,106.02,111.09,115.94,120.93,125.93,131.51,138.34,147.02,156.02
10,20,30,39.4,46.478,52.878,58.722,64.039,69.467,75.388,81.631,88.208,94.808,101.25,107.8,113.98,119.33,124.63,130.07,135.39,141.01,147.84,157.08,167.08
11,22,33,42.843,50.114,56.992,63.098,68.694,74.463,80.6,87.106,94.157,101.15,107.83,114.7,121.17,126.75,132.31,138.06,143.68,149.33,156.15,165.81,176.81
12,24,36,46.4,53.769,60.929,67.345,73.224,79.329,85.765,92.525,99.843,107.17,114.3,121.45,128.16,134.02,139.9,145.93,151.86,157.58,164.49,174.66,186.66
13,26,39,50.267,57.898,65.475,72.357,78.565,84.953,91.757,98.839,106.6,114.31,121.87,129.4,136.51,142.85,149.17,155.64,161.98,167.85,174.95,185.73,198.73
14,28,41.996,54.231,62.349,70.38,77.718,84.384,91.31,98.682,106.11,114.57,122.86,130.75,138.79,146.42,153.26,160.03,166.96,173.72,179.87,187.22,198.82,212.81
14.996,29.992,44.976,58.196,67.129,75.655,83.475,90.604,98.035,105.78,113.59,122.79,131.69,139.91,148.32,156.41,163.71,170.92,178.26,185.45,191.98,199.89,212.4,227.3
15.988,31.965,47.922,62.122,72,81.196,89.443,96.906,104.63,112.67,120.73,130.16,139.27,147.78,156.56,164.99,172.65,180.3,188.05,195.51,202.48,211.27,224.7,240.53
16.98,33.929,50.843,66.012,76.859,86.894,95.616,103.5,111.64,120.08,128.48,138.24,147.71,156.58,165.78,174.7,182.84,190.93,199.09,206.73,214.41,224.14,238.46,255.19
17.969,35.886,53.761,69.91,81.725,92.702,101.96,110.3,118.87,127.56,136.17,146.22,155.99,165.13,174.61,183.94,192.53,201.03,209.51,217.55,226.13,236.76,251.95,269.6
18.961,37.843,56.69,73.808,86.584,98.514,108.51,117.21,126.18,135.21,144.09,154.41,164.49,173.99,183.87,193.6,202.56,211.35,220.15,228.95,238.4,249.92,266.02,284.55
19.929,39.78,59.6,77.686,91.427,104.31,115.27,124.63,133.94,143.36,152.6,163.22,173.62,183.53,193.84,203.99,213.23,222.23,231.6,241.32,251.67,264.05,281.06,300.49
20.91,41.741,62.525,81.58,96.255,110.08,122.02,132.25,141.92,151.64,161.16,172.02,182.65,192.8,203.4,213.78,223.2,232.45,242.42,253.05,264.29,277.56,295.46,315.8
21.878,43.663,65.408,85.427,101.05,115.87,128.62,139.12,149.06,158.98,168.64,179.63,190.39,200.66,211.39,221.91,231.59,241.19,251.48,262.84,275.01,289.17,307.96,329.19
22.847,45.596,68.302,89.275,105.86,121.41,134.39,144.98,155.25,165.48,175.38,186.55,197.5,207.94,218.88,229.71,239.74,249.71,260.19,271.76,284.75,299.83,319.5,341.6
23.808,47.525,71.188,93.145,110.4,126.15,139.24,149.96,160.58,171.2,181.43,192.91,204.14,214.85,226.12,237.33,247.75,258.08,268.8,280.44,293.78,309.62,330.18,353.18
