1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20.996,21.992,22.992,23.992
2,4,6,8,10,12,14,16,17.922,19.686,21.345,22.957,24.604,26.282,28.055,29.98,31.98,33.976,35.976,37.976,39.973,41.969,43.969,45.969
3,6,9,12,15,18,20.922,23.549,25.902,28.047,30.098,32.067,34.031,35.976,37.953,40.125,42.753,45.745,48.745,51.745,54.741,57.737,60.733,63.729
3.9961,7.9961,11.996,15.996,19.996,23.804,27.098,30.075,32.957,35.678,38.298,40.835,43.349,45.824,48.282,50.808,53.651,57.102,60.894,64.89,68.886,72.878,76.871,80.863
4.9961,9.9961,14.996,19.996,24.718,28.749,32.341,35.894,39.361,42.678,45.941,49.129,52.267,55.322,58.318,61.361,64.678,68.325,72.239,76.675,81.573,86.565,91.553,96.537
5.9961,11.996,17.996,23.741,28.616,32.894,37.024,41.125,45.204,49.208,53.216,57.141,60.992,64.725,68.333,71.886,75.671,79.686,83.741,88.247,93.463,99.361,105.35,111.33
6.9961,13.996,20.965,26.984,31.961,36.643,41.263,45.906,50.643,55.353,60.067,64.694,69.235,73.624,77.851,81.929,86.161,90.557,94.816,99.392,104.69,111.03,118,124.95
7.9961,15.996,23.706,29.808,34.925,39.996,45.078,50.259,55.604,60.98,66.384,71.71,76.922,81.961,86.804,91.416,96.102,100.89,105.38,110.03,115.38,121.87,129.71,137.65
8.9961,17.996,26.176,32.341,37.596,43.016,48.541,54.251,60.212,66.247,72.31,78.294,84.145,89.773,95.051,100.03,105.11,110.3,115.08,119.82,125.19,131.82,140.54,149.48
9.9961,19.996,28.522,34.737,40.102,45.871,51.788,57.812,64.031,70.435,77,83.514,89.804,95.659,101.02,106.08,111.28,116.76,121.89,126.74,132.15,138.88,148.4,158.33
10.996,21.996,31.004,37.263,42.729,48.824,54.922,61.035,67.357,73.882,80.671,87.69,94.396,100.36,105.88,111.2,116.65,122.33,127.76,132.82,138.25,145.03,155.13,166.05
11.996,23.996,33.643,39.953,45.506,51.914,58.216,64.584,71.157,77.824,84.741,92.282,99.533,105.69,111.36,116.89,122.55,128.48,134.26,139.63,145.12,151.94,162.55,174.46
12.996,25.996,36.482,42.886,48.506,55.286,61.902,68.498,75.259,82.11,89.31,97.353,105.2,111.73,117.76,123.6,129.62,135.97,142.18,147.92,153.53,160.44,171.63,184.47
13.996,27.996,39.482,46.275,51.941,59.118,66.149,73.118,80.247,87.553,95.157,103.78,112.33,119.28,125.76,132.19,138.78,145.64,152.23,158.31,164.09,171.15,183.04,196.79
14.992,29.988,42.475,50.078,55.918,63.424,70.894,78.365,86.082,93.925,101.88,110.97,120.02,127.25,134,140.84,147.88,155.11,162.01,168.39,174.49,181.85,194.36,208.95
15.992,31.988,45.471,54.075,60.459,68.278,76.149,84.055,92.259,100.51,108.77,118.02,127.22,134.59,141.59,148.77,156.15,163.71,170.9,177.58,184,191.72,204.93,220.29
16.988,33.973,48.424,58.012,65.149,73.353,81.596,89.867,98.451,107.05,115.63,125.16,134.56,142.2,149.49,156.98,164.69,172.56,180.02,186.99,193.73,201.98,215.92,231.99
17.961,35.902,51.298,61.851,69.863,78.58,87.2,95.816,104.7,113.6,122.45,132.24,141.93,149.79,157.26,164.95,172.87,181.03,188.78,196.01,203.18,212.14,226.8,243.6
18.925,37.82,54.18,65.69,74.643,84.247,93.298,102.25,111.44,120.55,129.63,139.66,149.62,157.75,165.46,173.38,181.56,189.97,197.97,205.46,213.18,222.89,238.29,255.81
19.89,39.745,57.071,69.537,79.439,90.016,99.702,108.98,118.46,127.88,137.27,147.55,157.71,166.04,174.02,182.25,190.71,199.36,207.59,215.33,223.67,234.16,250.28,268.51
20.851,41.671,59.953,73.369,84.239,95.788,106.26,115.85,125.61,135.33,145.06,155.76,166.35,175.1,183.5,192.06,200.79,209.67,218.1,226.07,234.64,245.84,262.71,281.67
21.82,43.604,62.855,77.239,89.071,101.55,112.46,122.21,132.22,142.2,152.26,163.31,174.25,183.32,192.01,200.82,209.78,218.83,227.42,235.64,244.25,255.93,273.57,293.28
22.788,45.537,65.71,80.91,93.486,106.73,118.1,127.92,138.04,148.19,158.46,169.73,180.89,190.16,199.04,208.04,217.14,226.31,235.09,243.51,252.16,264.07,282.33,302.76
23.561,47.075,68.063,84.055,97.275,111.23,123.27,133.32,143.51,153.75,164.13,175.55,186.91,196.39,205.44,214.55,223.75,233.08,242.07,250.65,259.34,271.5,290.25,311.28
