1,2,3,4,5,6,7,7.9569,8.6863,9.2471,9.6314,9.9255,10.353,10.89,11.557,12.439,13.439,14.439,15.439,16.439,17.439,18.439,19.439,20.439
2,4,6,8,10,11.996,13.706,14.922,15.733,16.369,16.82,17.161,17.631,18.227,18.992,20.035,21.482,23.408,25.408,27.408,29.408,31.408,33.408,35.408
3,6,9,12,14.965,17.439,19.224,20.506,21.376,22.094,22.62,23.027,23.565,24.227,25.043,26.133,27.616,29.733,32.443,35.443,38.443,41.443,44.443,47.443
4,8,12,16,19.498,22.02,23.875,25.224,26.165,26.949,27.553,28.031,28.627,29.345,30.212,31.349,32.878,35.039,37.827,41.455,45.455,49.455,53.455,57.455
5,10,15,19.906,23.573,26.165,28.082,29.498,30.494,31.318,31.945,32.455,33.078,33.816,34.706,35.875,37.439,39.639,42.467,46.157,50.788,55.788,60.788,65.788
6,12,18,23.482,27.212,29.867,31.827,33.278,34.314,35.196,35.91,36.494,37.157,37.949,38.871,40.051,41.627,43.839,46.698,50.424,55.329,61.302,67.302,73.302
7,14,20.929,26.647,30.431,33.129,35.137,36.702,37.969,39.212,40.329,41.298,42.322,43.502,44.71,46.008,47.639,49.886,52.788,56.561,61.537,68.259,75.259,82.259
8,16,23.78,29.635,33.482,36.216,38.341,40.224,41.906,43.671,45.333,46.871,48.475,50.188,51.886,53.522,55.357,57.686,60.624,64.431,69.478,76.945,84.945,92.945
9,18,26.733,32.82,36.725,39.518,41.886,44.149,46.271,48.616,50.945,53.133,55.396,57.745,59.988,62.016,64.153,66.655,69.643,73.478,78.725,87.141,96.141,105.14
10,20,29.733,36.22,40.157,43.165,45.871,48.412,50.804,53.502,56.271,59,61.804,64.58,67.176,69.478,71.843,74.604,77.792,81.651,87.188,96.604,106.6,116.6
11,22,32.733,39.863,43.89,47.2,50.306,53.18,55.859,58.784,61.737,64.761,67.847,70.78,73.557,76.098,78.706,81.733,85.153,89.035,95.063,105.48,116.48,127.48
12,24,35.667,43.188,47.573,51.243,54.753,57.965,60.965,64.114,67.286,70.694,74.153,77.282,80.267,83.118,86.035,89.376,93.078,97.192,103.59,114.99,126.99,138.99
13,26,38.545,46.416,51.114,55.165,59.082,62.698,65.965,69.388,72.82,76.835,80.882,84.251,87.529,90.647,93.929,97.647,101.64,105.99,112.74,125.1,138.1,151.1
14,28,41.545,49.957,55.051,59.561,63.937,67.945,71.592,75.314,79.137,83.914,88.71,92.478,96.075,99.584,103.26,107.4,111.8,116.47,123.81,137.17,151.17,165.17
15,30,44.545,53.878,59.478,64.396,69.125,73.408,77.388,81.51,85.78,91.075,96.357,100.52,104.42,108.18,112.1,116.53,121.26,126.38,134.66,149.02,164.02,179.02
16,32,47.545,57.878,64.361,69.898,74.965,79.533,83.831,88.275,92.675,98.055,103.4,107.64,111.76,115.75,119.85,124.56,129.83,135.77,145.05,160.41,176.41,192.41
17,34,50.545,61.878,69.361,75.808,81.239,86.071,90.553,95.094,99.576,105.05,110.49,114.83,119.02,123.14,127.47,132.52,138.72,145.66,155.94,172.3,189.3,206.3
18,36,53.545,65.878,74.361,81.808,87.804,92.89,97.541,102.25,106.95,112.69,118.4,122.97,127.31,131.58,136.11,141.65,148.85,156.79,168.07,185.43,203.43,221.43
19,38,56.545,69.878,79.361,87.808,94.682,100.07,104.95,109.88,114.85,120.82,126.76,131.55,136.1,140.58,145.32,151.45,159.65,168.59,180.87,199.23,218.23,237.23
20,40,59.545,73.878,84.361,93.808,101.62,107.33,112.42,117.6,122.83,129.11,135.33,140.38,145.15,149.85,154.77,161.54,170.74,180.68,193.96,213.32,233.32,253.32
21,41.996,62.537,77.867,89.345,99.792,108.47,114.53,119.8,125.14,130.55,137,143.38,148.58,153.5,158.35,163.47,170.89,181.09,192.03,206.31,226.67,247.67,268.67
21.91,43.812,65.255,81.478,93.847,105.22,114.58,121.13,126.85,132.57,138.31,145.07,151.75,157.27,162.52,167.76,173.31,181.36,192.4,204.17,219.28,240.48,262.31,284.14
22.894,45.78,68.208,85.416,98.769,111.13,121.47,129.01,135.74,142.45,149.2,156.96,164.64,171.15,177.4,183.65,190.2,199.23,211.25,224.01,240.11,262.29,285.1,307.91
23.894,47.78,71.208,89.416,103.77,117.13,128.47,137.01,144.74,152.45,160.2,168.96,177.64,185.15,192.4,199.65,207.2,217.23,230.25,244.01,261.11,284.29,308.1,331.91
