1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,4,6,8,10,12,14,16,18,19.878,21.451,22.902,24.31,25.745,27.369,29.243,31.239,33.239,35.239,37.239,39.239,41.239,43.239,45.239
3,6,9,12,15,18,21,23.784,26.184,28.212,29.827,31.325,32.8,34.271,35.929,37.914,40.298,43.149,46.149,49.149,52.149,55.149,58.149,61.149
4,8,12,16,20,23.988,27.498,30.365,32.792,34.851,36.514,38.059,39.631,41.184,42.914,44.941,47.337,50.325,54.051,58.051,62.051,66.051,70.051,74.051
5,10,15,20,25,29.498,33.047,35.941,38.392,40.494,42.247,43.965,45.784,47.478,49.259,51.325,53.741,56.741,60.553,65.29,70.29,75.29,80.29,85.29
6,12,18,24,29.639,34.165,37.78,40.898,43.745,46.435,48.871,51.369,54.031,56.447,58.722,61,63.471,66.494,70.329,75.22,81.098,87.098,93.098,99.098
7,14,21,27.98,33.851,38.439,42.435,46.133,49.773,53.416,56.796,60.224,63.827,67.18,70.294,73.141,75.98,79.153,83.02,87.922,94.294,101.29,108.29,115.29
8,16,24,31.694,37.608,42.373,46.843,51.11,55.4,59.812,64.008,68.282,72.733,76.937,80.804,84.263,87.627,91.141,95.098,100,106.61,114.59,122.59,130.59
9,18,27,35.29,41.235,46.188,51.098,55.922,60.89,66.118,71.173,76.286,81.576,86.678,91.42,95.553,99.443,103.36,107.48,112.4,119.04,127.68,136.68,145.68
10,20,30,38.89,44.863,50.012,55.388,60.733,66.282,72.176,77.961,83.773,89.718,95.412,100.62,105.12,109.38,113.73,118.24,123.25,129.89,138.97,148.97,158.97
11,22,33,42.675,48.749,54.133,59.839,65.345,71.027,77.055,83.071,89.4,95.671,101.46,106.77,111.47,115.89,120.44,125.39,130.62,137.36,147.14,158.14,169.14
12,24,36,46.675,53.122,58.792,64.745,70.471,76.451,82.639,88.757,95.682,102.44,108.35,113.9,118.93,123.63,128.5,133.92,139.45,146.32,156.75,168.75,180.75
13,26,39,50.604,57.306,63.314,69.733,75.706,81.855,88.251,94.675,102.24,109.59,115.9,121.77,127.05,132.09,137.49,143.4,149.23,156.25,167.3,180.3,193.3
14,28,42,54.584,61.714,68.043,75.02,81.51,88.176,95.188,102.1,110.31,118.27,125.08,131.66,137.62,143.3,149.25,155.63,161.85,169.17,181,195,209
15,30,45,58.584,66.451,73.2,80.686,87.718,95.067,102.74,110.09,118.93,127.51,134.72,141.89,148.58,154.82,161.21,168.04,174.67,182.38,195.04,210.04,225.04
16,32,48,62.584,71.263,78.439,86.392,93.906,101.86,110.09,117.78,126.79,135.56,143,150.67,157.91,164.64,171.44,178.71,185.8,194.05,207.6,223.6,239.59
17,34,51,66.576,76.173,84.059,92.537,100.47,108.89,117.54,125.42,134.54,143.45,151.01,158.97,166.62,173.75,180.94,188.61,196.42,205.65,220.15,237.11,254.08
17.996,35.984,53.976,70.518,81.082,89.969,99.141,107.49,116.24,124.98,132.96,142.26,151.39,159.11,167.15,174.89,182.36,189.96,198.02,206.45,216.56,231.96,249.83,267.7
18.992,37.961,56.91,74.408,85.937,95.792,105.85,114.64,123.65,132.56,140.76,150.27,159.59,167.51,175.78,183.71,191.44,199.4,207.77,216.44,227.22,243.51,262.27,281.02
19.969,39.898,59.82,78.29,90.78,101.59,112.59,121.97,131.21,140.36,148.89,158.84,168.66,177.08,185.78,193.97,201.93,210.18,218.87,227.56,238.61,255.59,275.18,294.81
20.937,41.839,62.722,82.137,95.576,107.34,119.27,129.31,138.8,148.09,156.8,167,177.2,185.89,194.75,203.08,211.2,219.75,228.75,237.47,248.6,266.09,286.45,306.93
21.898,43.765,65.604,85.973,100.36,113.05,125.89,136.53,146.34,155.78,164.54,174.78,185.04,193.78,202.7,211.15,219.47,228.31,237.65,246.41,257.59,275.27,296.29,317.5
22.871,45.714,68.514,89.847,105.16,118.81,132.57,143.76,153.93,163.64,172.55,182.91,193.3,202.18,211.22,219.83,228.39,237.54,247.23,256.2,267.43,285.13,306.47,328.34
23.78,47.522,71.227,93.314,109.16,123.76,138.4,150.12,160.75,170.91,180.15,190.8,201.46,210.63,219.96,228.89,237.85,247.42,257.56,267.06,278.95,297.15,318.84,341.27
