1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48
3,6,9,12,15,18,21,24,26.922,29.624,32.149,34.62,37.086,39.675,42.51,45.51,48.51,51.51,54.51,57.51,60.51,63.51,66.51,69.51
4,8,12,16,20,24,27.855,31.286,34.345,37.067,39.596,42.071,44.537,47.133,50.063,53.686,57.518,61.384,65.38,69.38,73.38,77.38,81.38,85.38
5,10,15,20,24.996,29.592,33.549,36.984,40.071,42.827,45.396,47.902,50.392,53.012,55.961,59.627,63.518,67.478,71.859,76.694,81.694,86.694,91.694,96.694
6,12,18,24,29.482,34.094,38.071,41.545,44.667,47.459,50.047,52.565,55.082,57.745,60.741,64.443,68.357,72.345,76.753,81.706,87.247,93.224,99.224,105.22
7,14,21,27.694,33.192,37.812,41.808,45.302,48.459,51.31,54.004,56.702,59.455,62.353,65.608,69.482,73.482,77.518,81.976,86.973,92.541,99.075,106.07,113.07
8,16,23.996,30.965,36.463,41.094,45.125,48.682,51.957,55.063,58.192,61.396,64.624,68.012,71.698,75.882,80.11,84.286,88.808,93.831,99.42,106.07,113.95,121.95
9,18,26.82,33.831,39.333,43.996,48.161,51.957,55.545,59.133,62.867,66.71,70.553,74.522,78.71,83.294,87.843,92.247,96.882,101.93,107.55,114.21,122.8,131.8
10,20,29.459,36.471,41.98,46.757,51.161,55.231,59.173,63.212,67.502,72.008,76.494,80.996,85.62,90.565,95.404,100.07,104.91,110.01,115.64,122.32,131.62,141.62
11,22,32.059,39.071,44.608,49.62,54.302,58.686,63,67.353,71.98,76.973,81.922,86.753,91.714,97.094,102.31,107.27,112.41,117.64,123.28,130,140.07,151.07
12,24,34.769,41.784,47.4,52.753,57.769,62.471,67.086,71.753,76.741,82.294,87.753,92.945,98.239,103.93,109.47,114.76,120.26,125.7,131.36,138.2,149.15,161.15
13,26,37.659,44.8,50.529,56.29,61.635,66.612,71.475,76.467,81.933,88.122,94.145,99.765,105.36,111.27,117.06,122.64,128.55,134.26,139.91,147.02,158.91,171.89
14,27.984,40.596,48.075,53.98,60.2,66.067,71.655,77.141,82.769,88.788,95.6,102.18,108.35,114.6,121.14,127.55,133.68,140.07,146.06,151.8,159.48,172.35,186.29
14.992,29.965,43.541,51.42,57.608,64.239,70.612,76.824,82.976,89.188,95.71,103.11,110.24,116.91,123.8,131.04,138.1,144.79,151.62,157.94,163.89,172.11,185.95,200.85
15.988,31.945,46.522,55.133,61.643,68.62,75.384,82.059,88.698,95.314,102.16,109.84,117.22,124.23,131.55,139.32,146.9,154.02,161.22,167.88,174.14,183.15,197.96,213.82
16.98,33.929,49.502,59.016,66.004,73.286,80.357,87.353,94.345,101.29,108.44,116.46,124.17,131.5,139.19,147.34,155.29,162.73,170.23,177.26,184.05,194.01,209.79,226.64
17.976,35.925,52.494,63.008,70.831,78.49,85.847,93.145,100.43,107.69,115.2,123.6,131.68,139.39,147.41,155.85,164.11,171.84,179.61,187.13,194.82,205.75,222.5,240.33
18.976,37.925,55.494,67.004,75.827,84.125,91.78,99.396,106.98,114.47,122.04,130.47,138.59,146.37,154.61,163.35,171.91,179.92,187.98,196.28,204.95,216.87,234.6,253.42
19.976,39.925,58.49,71,80.824,89.976,97.984,105.92,113.82,121.55,129.21,137.79,146.05,153.94,162.42,171.46,180.31,188.58,197.06,206.31,215.95,228.86,247.58,267.4
20.976,41.922,61.486,74.996,85.82,95.965,104.46,112.7,120.9,128.92,136.87,145.75,154.29,162.45,171.22,180.55,189.66,198.2,207.37,217.62,228.25,242.15,261.87,282.68
21.976,43.922,64.486,78.996,90.82,101.93,110.87,119.41,127.94,136.26,144.49,153.64,162.46,170.91,179.98,189.6,198.98,207.82,217.84,229.09,240.72,255.61,276.33,298.14
22.976,45.922,67.486,82.996,95.82,107.93,117.37,126.19,135.02,143.66,152.25,161.81,171.03,179.82,189.22,199.11,208.73,217.87,228.79,241.04,253.67,269.56,291.27,314.09
23.976,47.922,70.486,86.996,100.82,113.93,124.24,133.41,142.45,151.32,160.19,170.04,179.54,188.59,198.18,208.23,218.07,227.72,239.64,252.88,266.51,283.4,306.12,329.93
