1,2,3,4,5,6,7,8,8.9373,9.7412,10.396,10.925,11.404,11.922,12.584,13.486,14.486,15.486,16.486,17.486,18.486,19.486,20.486,21.486
2,4,6,8,10,11.89,13.541,14.941,16.094,17.012,17.725,18.286,18.776,19.302,19.988,21.055,22.702,24.702,26.702,28.702,30.702,32.702,34.702,36.702
3,6,9,11.945,14.592,16.737,18.443,19.882,21.086,22.082,22.882,23.529,24.078,24.651,25.376,26.471,28.22,30.831,33.596,36.549,39.549,42.549,45.549,48.549
4,8,11.929,15.431,18.243,20.416,22.169,23.655,24.906,25.957,26.839,27.576,28.18,28.792,29.553,30.682,32.459,35.086,37.894,41.094,44.847,48.847,52.847,56.847
5,9.9804,14.533,18.235,21.075,23.29,25.067,26.576,27.882,29.02,30.012,30.875,31.6,32.337,33.263,34.584,36.525,39.231,42.071,45.29,49.102,53.667,58.667,63.667
6,11.8,16.714,20.447,23.306,25.553,27.412,29.094,30.663,32.153,33.569,34.875,36.035,37.208,38.557,40.31,42.655,45.651,48.569,51.843,55.698,60.302,65.886,71.886
7,13.455,18.561,22.298,25.2,27.561,29.706,31.8,33.922,36.047,38.141,40.149,42.031,43.91,45.894,48.22,51.051,54.455,57.569,60.902,64.835,69.486,75.161,81.933
7.9725,14.976,20.184,23.933,26.886,29.467,32.027,34.678,37.478,40.345,43.208,46.008,48.69,51.349,54.063,57.035,60.427,64.31,67.733,71.161,75.165,79.898,85.6,92.663
8.8941,16.337,21.612,25.373,28.404,31.278,34.306,37.514,40.949,44.51,48.102,51.663,55.094,58.557,62.051,65.667,69.592,73.965,77.827,81.463,85.522,90.314,96.082,103.24
9.7333,17.514,22.824,26.616,29.757,32.965,36.361,40.039,44.075,48.447,52.98,57.451,61.812,66.067,70.075,74.075,78.376,83.176,87.49,91.525,95.678,100.5,106.35,113.6
10.553,18.624,23.957,27.788,31.082,34.58,38.243,42.255,46.682,51.627,57,62.431,67.702,72.596,77.153,81.718,86.545,91.878,96.682,101.2,105.53,110.4,116.3,123.67
11.416,19.796,25.165,29.047,32.525,36.369,40.459,44.945,49.831,55.318,61.278,67.486,73.486,78.969,83.965,88.827,94.027,99.863,105.25,110.31,114.88,119.77,125.74,133.38
12.353,21.149,26.565,30.486,34.18,38.463,42.918,47.757,53.008,59.008,65.416,72.224,78.804,84.831,90.435,95.945,101.79,108.27,114.3,119.9,124.82,129.97,136.44,144.81
13.353,22.796,28.533,32.627,36.561,41.318,46.306,51.788,57.71,64.298,71.153,78.58,85.776,92.384,98.686,104.98,111.63,118.89,125.63,131.81,137.23,143.04,150.37,159.58
14.353,24.686,30.973,35.678,39.984,45.235,50.859,57.039,63.71,70.941,78.247,86.384,94.239,101.39,108.41,115.55,123.09,131.18,138.6,145.36,151.31,157.79,165.82,175.93
15.353,26.686,33.596,38.929,43.639,49.365,55.624,62.58,70.118,77.965,85.776,94.596,103.12,110.89,118.55,126.52,134.97,143.85,151.89,159.25,165.72,172.8,181.59,192.71
16.353,28.686,36.475,42.365,47.482,53.643,60.502,68.2,76.471,84.875,93.231,102.7,111.93,120.35,128.66,137.32,146.53,156.16,164.84,172.8,179.78,187.54,197.3,209.42
17.353,30.686,39.475,46.2,51.78,58.392,65.843,74.18,83.051,91.953,100.83,110.91,120.78,129.78,138.62,147.87,157.8,168.17,177.56,186.11,193.55,202.17,212.93,226.05
18.353,32.686,42.475,50.196,56.38,63.435,71.525,80.478,90.012,99.357,108.51,118.95,129.2,138.57,147.86,157.74,168.44,179.56,189.62,198.75,207.02,216.64,228.4,242.51
19.353,34.686,45.475,54.196,61.271,68.839,77.475,87.047,97.196,107.13,116.84,127.85,138.71,148.79,158.84,169.44,180.8,192.58,203.18,212.97,222.24,232.86,245.62,260.74
20.353,36.686,48.475,58.196,66.271,74.729,83.843,93.878,104.49,115.02,125.41,137.16,148.8,159.65,170.43,181.69,193.6,205.88,216.9,227.42,237.69,249.31,263.07,279.18
21.353,38.686,51.475,62.196,71.271,80.675,90.259,100.6,111.54,122.53,133.55,146.02,158.45,170.03,181.43,193.18,205.5,218.19,229.71,240.91,252.18,264.79,279.56,296.67
22.353,40.686,54.475,66.196,76.192,86.102,95.863,106.41,117.68,128.95,140.35,153.31,166.27,178.33,190.13,202.24,214.97,228.2,240.32,251.84,263.77,277.38,293.15,311.26
23.353,42.686,57.475,70.196,80.796,90.929,100.76,111.49,123.18,134.8,146.55,159.9,173.34,185.9,198.21,210.86,224.16,238.02,250.74,262.52,274.69,289.27,306.04,325.15
