1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,4,6,8,10,12,14,16,18,19.969,21.835,23.698,25.557,27.518,29.518,31.518,33.518,35.518,37.518,39.518,41.518,43.518,45.518,47.518
3,6,9,12,15,18,21,23.871,26.447,28.686,30.671,32.659,34.639,36.816,39.29,42.125,45.125,48.125,51.125,54.125,57.125,60.125,63.125,66.125
4,8,12,16,20,23.925,27.388,30.38,32.984,35.243,37.251,39.263,41.29,43.506,46.012,48.957,52.533,56.533,60.533,64.533,68.533,72.533,76.533,80.533
5,10,15,20,24.878,29.075,32.549,35.557,38.18,40.471,42.525,44.612,46.753,49.047,51.608,54.584,58.188,62.643,67.624,72.624,77.624,82.624,87.624,92.624
6,12,18,23.898,29.031,33.243,36.808,40.016,42.961,45.675,48.192,50.792,53.51,56.259,59.114,62.227,65.859,70.322,75.765,81.765,87.765,93.765,99.765,105.76
7,14,21,27.373,32.506,36.847,40.812,44.596,48.255,51.753,55.075,58.459,61.937,65.424,68.929,72.525,76.431,80.969,86.471,93.247,100.25,107.25,114.25,121.25
8,16,23.835,30.376,35.537,40.129,44.635,49.102,53.537,57.886,62.082,66.282,70.537,74.8,79,83.188,87.573,92.337,97.851,105.04,113.04,121.04,129.04,137.04
9,18,26.392,32.976,38.18,43.059,48.122,53.278,58.482,63.647,68.659,73.678,78.725,83.714,88.608,93.4,98.31,103.42,108.98,116.28,125.15,134.15,143.15,152.15
10,20,28.855,35.478,40.722,45.945,51.553,57.325,63.231,69.204,75.102,81.039,86.957,92.718,98.188,103.42,108.73,114.27,120.03,127.34,136.81,146.81,156.81,166.81
11,22,31.357,38.039,43.353,48.945,54.851,60.886,67.102,73.365,79.714,86.431,92.945,99.012,104.75,110.27,115.82,121.69,127.77,135.11,145.18,156.18,167.18,178.18
12,24,34.098,40.922,46.325,52.333,58.565,64.882,71.341,77.957,84.675,91.906,98.894,105.38,111.46,117.22,123.1,129.45,135.96,143.48,154.38,166.38,178.38,190.38
13,26,36.847,44.008,49.549,56.086,62.82,69.49,76.361,83.518,90.671,98.416,105.93,112.87,119.5,125.76,132.09,138.98,145.95,153.7,165.46,178.46,191.46,204.46
14,28,39.608,47.345,53.125,60.169,67.486,74.78,82.353,90.149,97.773,106.04,114.11,121.49,128.71,135.64,142.63,150.09,157.53,165.71,178.4,192.4,206.4,220.4
15,30,42.506,50.922,57.153,64.718,72.659,80.663,88.976,97.494,105.63,114.48,123.27,131.15,139.05,146.64,154.27,162.33,170.28,179.01,192.67,207.67,222.67,237.67
16,32,45.455,54.482,61.306,69.384,77.925,86.643,95.741,105.08,113.73,122.95,132.2,140.44,149.02,157.35,165.62,174.25,182.71,192.05,206.68,222.68,238.68,254.68
17,34,48.447,58.29,65.784,74.333,83.447,92.816,102.6,112.41,121.27,130.75,140.36,148.8,157.62,166.38,175.23,184.38,193.54,203.85,219.48,236.48,253.48,270.48
18,36,51.447,62.29,70.71,79.745,89.4,99.357,109.46,119.44,128.55,138.42,148.44,157.22,166.26,175.23,184.53,194.23,204.28,215.59,232.22,250.22,268.22,286.22
19,38,54.447,66.29,75.71,85.427,95.561,106.08,116.59,127.1,136.73,147.05,157.52,166.76,176.32,185.69,195.43,205.74,216.78,229.09,246.72,265.72,284.72,303.72
20,40,57.447,70.29,80.71,91.29,101.87,112.84,123.75,134.75,144.92,155.85,167,176.82,186.85,196.58,206.74,217.6,229.6,242.91,261.55,281.55,301.55,321.55
21,42,60.447,74.29,85.71,97.157,108.24,119.65,130.81,142.01,152.4,163.73,175.42,185.58,195.77,205.71,216.31,227.62,240.36,254.67,274.31,295.31,316.31,337.31
22,44,63.447,78.29,90.71,103.02,114.58,126.55,138.14,149.54,160.07,171.54,183.4,193.71,204.12,214.44,225.56,237.27,250.65,265.96,286.59,308.59,330.59,352.59
23,46,66.447,82.29,95.71,108.73,120.75,133.31,145.49,157.39,168.44,180.5,192.95,203.83,214.73,225.55,237.23,249.37,263.24,279.55,301.18,324.18,347.18,370.18
24,48,69.4,85.91,100.24,114.11,126.65,139.78,152.61,165.04,176.62,189.43,202.67,214.11,225.49,236.86,249.1,261.75,276.15,293.43,316.06,340.06,364.06,388.06
