1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,22.957,23.843
2,4,6,8,10,12,13.953,15.729,17.318,18.71,20.012,21.361,22.776,24.263,25.886,27.647,29.62,31.62,33.62,35.616,37.518,39.259,40.8,42.196
3,6,9,12,15,17.776,19.992,21.835,23.451,24.878,26.204,27.569,29.004,30.49,32.114,33.89,36.212,39.133,42.039,44.745,47.192,49.431,51.447,53.306
4,8,12,15.965,19.431,22.29,24.557,26.459,28.129,29.616,30.988,32.388,33.847,35.349,36.988,38.776,41.102,44.196,47.4,50.545,53.475,56.204,58.698,61.031
5,10,15,19.584,23.078,25.98,28.298,30.239,31.937,33.447,34.839,36.255,37.729,39.255,40.914,42.71,45.047,48.145,51.349,54.588,57.882,61.082,64.055,66.867
6,12,17.902,22.741,26.286,29.224,31.588,33.58,35.31,36.875,38.427,40.055,41.745,43.459,45.275,47.165,49.565,52.686,55.902,59.153,62.502,66.063,69.514,72.765
7,13.886,20.031,24.922,28.545,31.514,33.902,35.925,37.753,39.694,41.753,43.843,45.929,47.988,50.094,52.196,54.729,57.91,61.129,64.404,67.761,71.443,75.31,79
8,15.537,21.706,26.667,30.337,33.361,35.941,38.271,40.635,43.208,45.859,48.486,51.047,53.522,55.984,58.349,61.039,64.298,67.529,70.82,74.2,77.906,82.082,86.216
9,17.078,23.271,28.325,32.086,35.329,38.455,41.427,44.467,47.69,50.918,54.098,57.2,60.18,63.051,65.714,68.573,71.922,75.176,78.486,81.886,85.592,90.004,94.561
10,18.553,24.773,29.941,33.851,37.541,41.141,44.525,48.098,51.941,55.792,59.58,63.302,66.82,70.027,72.914,75.898,79.329,82.624,85.953,89.376,93.082,97.725,102.69
11,20.063,26.31,31.529,35.737,39.925,43.953,47.765,51.647,55.753,60.075,64.51,68.725,72.549,75.992,79.102,82.247,85.761,89.106,92.443,95.871,99.596,104.55,109.93
12,21.573,27.839,33.094,37.698,42.459,46.98,51.204,55.325,59.706,64.471,69.647,74.29,78.302,82.184,85.592,88.871,92.475,95.898,99.251,102.68,106.47,111.79,117.56
13,23.38,29.792,35.133,40.18,45.576,50.584,55.298,59.831,64.569,69.765,75.635,80.831,84.953,89.086,92.847,96.314,100.02,103.57,106.98,110.4,114.34,120.05,126.18
14,25.38,32.486,38.071,43.565,49.604,55.227,60.592,65.722,70.992,76.827,83.373,89.192,93.569,97.765,101.7,105.44,109.33,113.04,116.55,119.99,124.16,130.24,136.74
15,27.38,35.459,41.58,47.545,54.271,60.651,66.792,72.635,78.62,85.137,92.404,99.016,103.76,108.08,112.12,116.15,120.31,124.19,127.81,131.42,135.96,142.41,149.28
16,29.38,38.459,45.471,52.012,59.416,66.58,73.58,80.227,86.91,94.035,101.79,108.93,113.87,118.36,122.68,127.07,131.49,135.53,139.27,143.12,148.04,154.85,162.06
17,31.38,41.459,49.427,56.604,64.612,72.533,80.376,87.788,95.086,102.75,110.98,118.54,123.79,128.43,132.97,137.71,142.37,146.54,150.4,154.49,159.8,166.98,174.53
18,33.38,44.459,53.424,61.427,70.016,78.592,87.184,95.239,103.07,111.18,119.8,127.71,133.2,138.03,142.73,147.68,152.55,156.83,160.91,165.37,171.05,178.6,186.49
19,35.38,47.459,57.424,66.42,75.69,84.855,94.098,102.74,111.08,119.65,128.72,137,142.76,147.74,152.6,157.77,162.78,167.15,171.56,176.41,182.45,190.35,198.58
20,37.38,50.459,61.424,71.42,81.557,91.251,101.04,110.21,119.09,128.15,137.56,146.1,152.07,157.26,162.3,167.6,172.7,177.46,182.36,187.6,194.02,202.28,210.86
21,39.38,53.459,65.424,76.42,87.557,98.031,108.21,117.73,127.04,136.52,146.28,155.09,161.21,166.54,171.67,177.02,182.32,187.98,193.46,199.07,205.86,214.47,223.38
22,41.38,56.459,69.424,81.42,93.557,104.8,115.46,125.24,134.81,144.53,154.49,163.46,169.71,175.12,180.3,185.7,191.14,197.26,203.15,209.13,216.28,225.24,234.49
23,43.38,59.459,73.424,86.42,99.212,110.65,121.86,132.12,141.98,151.89,162.02,171.11,177.45,182.91,188.16,193.66,199.2,205.36,211.54,217.88,225.38,234.68,244.26
23.922,45.259,62.157,76.647,90.039,102.96,114.54,126.28,137.15,147.51,157.87,168.37,177.76,184.29,189.85,195.23,200.91,206.56,212.73,218.97,225.58,233.44,243.07,252.96
