1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,4,6,8,10,12,14,16,18,20,22,24,25.996,27.996,29.996,31.996,33.996,35.996,37.996,39.996,41.996,43.996,45.992,47.933
3,6,9,12,15,18,21,24,26.925,29.647,32.063,34.373,36.655,38.996,41.612,44.525,47.525,50.525,53.525,56.525,59.447,62.2,64.784,67.204
4,8,12,16,20,24,27.91,31.408,34.522,37.302,39.741,42.067,44.365,46.71,49.329,52.373,55.965,59.961,63.898,67.584,70.984,74.122,77.071,79.859
5,10,15,20,25,29.808,33.933,37.451,40.6,43.424,45.914,48.278,50.627,53.027,55.682,58.729,62.333,66.659,71.043,75.098,78.863,82.369,85.678,88.824
6,12,18,24,29.831,34.808,38.992,42.706,46.141,49.294,52.133,54.827,57.506,60.173,62.973,66.067,69.675,74,78.506,82.906,87.012,90.855,94.498,97.98
7,14,21,27.969,34.067,39.106,43.698,48.035,52.165,55.98,59.42,62.647,65.82,68.933,72.071,75.337,79.004,83.349,87.863,92.431,96.867,101.03,104.99,108.78
8,16,24,31.667,37.816,43.094,48.333,53.443,58.404,62.992,67.067,70.867,74.537,78.094,81.592,85.094,88.898,93.31,97.831,102.44,107.15,111.63,115.9,119.99
9,18,27,34.984,41.173,46.773,52.722,58.639,64.424,69.765,74.443,78.82,83.024,87.02,90.871,94.612,98.569,103.09,107.64,112.25,117.15,121.93,126.5,130.87
10,20,29.961,38.231,44.443,50.451,57.184,63.831,70.345,76.451,81.8,86.753,91.533,96,100.15,104.06,108.13,112.78,117.4,122.01,126.98,132.04,136.89,141.54
11,22,32.902,41.459,47.71,54.235,61.494,68.451,75.255,81.62,87.314,92.82,98,102.62,106.91,110.99,115.14,119.87,124.61,129.22,134.21,139.49,144.61,149.52
12,24,35.902,44.945,51.259,58.416,66.243,73.6,80.639,87.184,93.247,99.322,104.79,109.44,113.94,118.15,122.4,127.22,132.1,136.75,141.78,147.28,152.65,157.82
13,26,38.902,48.631,55.11,63.02,71.616,79.463,86.922,93.753,100.25,106.96,112.78,117.48,122.02,126.35,130.73,135.66,140.69,145.39,150.53,156.25,161.87,167.27
14,28,41.894,52.329,59.251,67.89,77.263,85.784,93.914,101.33,108.48,115.87,122.06,126.87,131.49,135.91,140.47,145.57,150.75,155.52,160.77,166.72,172.56,178.2
15,30,44.894,56.188,63.706,73.149,83.404,92.729,101.58,109.73,117.61,125.71,132.41,137.35,142.06,146.58,151.25,156.5,161.83,166.68,172.09,178.27,184.34,190.2
16,32,47.894,60.118,68.365,78.671,89.839,100.04,109.72,118.62,127.16,135.69,142.72,147.71,152.53,157.29,162.16,167.55,173.03,177.98,183.56,189.97,196.26,202.35
17,34,50.894,64.102,73.188,84.302,96.376,107.47,117.97,127.41,136.23,145,152.29,157.37,162.24,167.12,172.14,177.65,183.28,188.35,194.11,200.73,207.23,213.53
18,36,53.894,68.102,78.176,90.243,103.2,115.18,126.22,135.82,144.93,154.05,161.63,166.89,171.83,176.79,181.9,187.55,193.34,198.62,204.6,211.41,218.11,224.61
19,38,56.894,72.102,83.176,96.239,110.09,122.93,134.53,144.64,154.33,163.85,171.73,177.22,182.32,187.42,192.64,198.41,204.38,209.85,216.01,223.01,229.9,236.59
20,40,59.894,76.102,88.176,102.24,117.01,130.65,142.84,153.53,163.82,173.85,182.16,187.96,193.22,198.41,203.73,209.62,215.68,221.31,227.64,234.82,241.88,248.75
21,42,62.894,80.102,93.176,108.24,123.94,138.35,151.03,162.03,172.62,182.98,191.66,197.64,202.94,208.18,213.6,219.59,225.67,231.37,237.83,245.17,252.41,259.45
22,44,65.894,84.102,98.176,114.24,130.85,146.05,159.4,170.74,181.51,192.02,200.81,206.85,212.2,217.51,223.05,229.13,235.2,240.93,247.5,254.98,262.37,269.58
23,46,68.894,88.102,103.18,120.24,137.72,153.69,167.8,179.85,191.26,202.29,211.45,217.7,223.16,228.57,234.2,240.38,246.46,252.19,258.85,266.45,273.99,281.35
24,48,71.894,91.969,108,126.03,144.3,161.04,175.93,188.69,200.8,212.51,222.21,228.73,234.28,239.79,245.54,251.83,257.96,263.71,270.45,278.18,285.85,293.35
